ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
60002,38.34505395683453,11120
60004,33.289001238134546,24230
60005,31.10368600682594,14650
60007,29.872663346029885,17065
60008,27.620091242508273,11179
60010,37.69196044711952,18608
60012,34.84487179487179,5070
60013,36.123941779296004,13466
60014,34.954213376999625,23817
60015,32.33234705784297,11998
60016,32.06041411702444,30233
60018,28.789905061129705,14641
60020,42.9459152016546,4835
60022,45.026891522333635,3291
60025,32.566068981269986,17512
60026,35.19824744056915,5763
60029,32.53370786516854,178
60030,34.00492154478606,17271
60031,30.930845922986926,19659
60033,33.20759893581643,6014
60034,37.26127450980392,1020
60035,34.05660809778457,13090
60040,27.03897116134061,2566
60041,39.996416213544244,4046
60042,37.29130901287554,4660
60043,41.1056166056166,819
60044,29.523150199379707,4514
60045,34.52460555972953,7986
60046,36.991371268656714,17152
60047,36.45721964690798,20278
60048,28.742057882598022,13441
60050,35.45102916485293,16081
60051,36.73805615550756,11575
60053,33.92392643852498,10549
60056,33.70655627406272,26753
60060,30.93869831070577,19298
60061,31.78972109056722,12764
60062,33.61432285219114,16156
60064,26.47291179906542,6848
60067,33.356522688800304,18313
60068,33.738827816943484,16738
60069,29.335020563112938,3161
60070,27.698843474832437,7609
60071,36.81940469376073,1747
60073,36.718311017534624,30397
60074,31.439458450940055,20903
60076,33.063611641922684,13606
60077,31.034418226200163,12290
60081,37.357066836951894,4698
60083,36.17149340825589,4627
60084,36.76910809214412,8465
60085,29.01285601888277,31775
60087,30.517462388701258,13028
60088,12.747143599065177,7702
60089,33.79167267657099,20799
60090,27.107006945105127,21022
60091,36.86404962591155,10559
60093,38.20354578096948,6684
60096,33.42940619077701,3166
60097,38.25084269662921,5340
60098,31.530580137659783,15255
60099,31.956347693480748,13115
60101,28.081605623758342,19631
60102,38.063169164882225,16345
60103,37.30600272211011,21307
60104,30.850321395775943,8712
60106,28.267153628652213,10610
60107,32.565970551438745,20782
60108,32.1382582322357,11540
60110,33.473137612709316,18632
60118,33.23562930494678,7985
60119,34.084496124031006,5160
60120,29.979046060911152,23838
60123,29.665089877010406,23254
60124,36.82013007783346,9379
60126,32.72257933094926,22091
60130,36.46777807063785,7588
60131,31.730890999547714,8844
60133,31.46179722540941,19174
60134,35.745376311617726,13247
60136,37.36914679689745,3481
60137,33.99970882832518,17172
60139,28.73531728172817,17776
60140,37.1530269058296,8028
60142,38.62099707265147,11273
60143,28.907017825598203,6227
60148,31.191055300269372,25244
60151,32.99145299145299,2223
60152,34.738711765657875,6179
60153,32.57391262694003,10438
60154,33.43799603174603,8064
60155,37.46636532837012,3761
60156,37.96357963875205,15225
60157,27.351324503311258,1510
60160,30.174933721029674,11693
60162,33.634264091858036,3832
60163,29.563298969072164,2425
60164,30.74337022342869,9578
60165,25.739502999143102,2334
60169,31.985520784680055,17128
60171,37.59040959040959,5005
60172,33.52896318557475,13310
60173,31.799813780260706,6981
60174,32.58643092636887,15469
60175,39.05423211169285,11460
60176,32.73035372016031,5739
60177,33.55618316660917,11596
60180,27.530127462340673,863
60181,28.377094772873136,14023
