ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
75001,24.261061029945083,9651
75006,26.26216814159292,26216
75007,27.7923829130211,29145
75010,29.11274156763894,16662
75019,26.747363692249493,21147
75022,30.420611889561396,12061
75024,28.989522307345652,22190
75028,30.982444648237916,22899
75034,31.986434853142075,46848
75038,24.705586356514402,16594
75039,23.14259560618389,12290
75040,32.95311498633926,29647
75041,32.05507289059049,13582
75042,29.69800803576481,17671
75043,34.328433209552685,29353
75044,30.164521452145216,21210
75048,35.58157765801078,12246
75050,28.60655356727864,21515
75051,29.579544789655372,17091
75052,32.51043957194614,47751
75054,39.377888345420814,5929
75056,31.064023106083397,33238
75057,26.05723076923077,8125
75060,28.582140747807916,22011
75061,27.779647004537413,26006
75062,25.113855421686747,24070
75063,25.436592856789023,20187
75065,32.100082987551865,6025
75067,27.85573090376637,36879
75068,39.3825134867686,31327
75077,31.229369000965526,17607
75078,38.203757487747325,11018
75080,26.644964988329445,23992
75081,26.78737053640439,19407
75082,28.528084756598776,10949
75088,35.43817162435758,12842
75089,36.85657699290312,18177
75093,27.1102523659306,22190
75098,37.1141428256233,27194
75104,33.41316502140299,22894
75114,40.296637568703524,3093
75115,34.45437048917402,24940
75116,29.99175297276563,7821
75126,42.152031650983744,23380
75134,34.125519287833825,10110
75137,29.50815402038505,8830
75141,33.90909090909091,1375
75142,40.1881863159165,8287
75143,49.781375777533846,5466
75146,33.41220188574598,9015
75149,34.59003221991109,24519
75150,33.543152400098755,28353
75154,37.74889502762431,18100
75158,46.83854499042757,1567
75159,40.99802479226263,7341
75160,31.69375,10880
75161,33.913102976394114,2923
75172,31.891315261044177,1992
75180,39.262818648832024,10317
75181,40.72883771085265,12983
75182,34.239817415730336,2848
75201,24.3619225273853,12598
75202,23.861304623179226,1579
75203,37.09387679822944,8133
75204,24.16065492433639,20155
75205,21.577168732125834,10490
75206,25.211222900946222,25047
75207,23.448924731182796,2046
75208,30.05156005710013,14711
75209,22.13480558189947,7381
75210,36.15058626465662,2985
75211,30.32284016956236,33498
75212,29.25974025974026,9548
75214,27.526510515188605,17974
75215,31.22108208955224,6968
75216,33.78216697882967,17619
75217,38.6420937612262,33404
75218,28.686850914084626,11651
75219,23.219241471086377,16532
75220,28.92208099040779,21163
75223,30.26798534798535,6825
75224,33.580342167058035,14905
75225,21.258696471179203,7963
75226,24.441782261454392,2379
75227,34.27864295932965,24465
75228,33.01386744179005,33027
75229,27.052385377942997,16140
75230,23.390382052421145,13506
75231,29.506422107618956,20554
75232,32.925956811797754,11392
75233,30.642117677892806,7631
75234,24.988259526261587,19420
75235,24.383438389589266,9836
75236,28.129567067067068,7992
75237,31.607836607836607,9009
75238,28.566081569437273,15496
75240,26.08382562640049,14727
75241,35.202741770027046,10723
75243,29.432617613685956,34371
75244,23.75840755017945,7523
75246,29.277911646586347,1245
75247,61.47802197802198,182
75248,25.38946707808169,19121
75249,35.703347329134594,8574
75251,21.90495391705069,1736
75253,41.901337115072934,9872
75254,25.108608022885377,15381
75287,28.14695577930872,33966
76001,31.67997516299286,16105
76002,35.65879429913176,18313
76006,27.553803001602798,13726
76010,26.66891145044418,24427
76011,26.245937023869985,11814
76012,27.197286722803437,11757
76013,28.36811389726159,15593
76014,28.90842777534281,15971
76015,27.456826347305388,8350
76016,28.867761862738444,14731
76017,30.80870171409825,24386
76018,32.03327283726558,16530
76020,36.441209541402294,12451
76021,27.663597265108073,18136
76022,27.933269710762,6811
76028,33.31370003622751,33124
76034,29.295719844357976,11051
76036,35.43249820473949,12533
76039,25.425481008872495,20062
76040,26.250505114282106,15838
76051,25.383539999313022,29113
76052,35.79793735676088,10472
76053,28.683695131137437,14603
76054,29.255750176928522,5652
76060,31.19159599074788,3891
76063,33.28333381801262,34387
76092,30.709470583138376,11541
76102,24.372340425531913,3478
76103,29.762666666666668,6375
76104,27.797173414820474,6545
76105,27.523845763571792,7884
76106,28.195703048820125,15383
76107,22.443505425846762,15205
76108,29.2656203876808,20326
76109,22.81736355843414,10499
76110,25.561608890131396,14308
76111,26.66004512458309,10194
76112,27.61234021632252,18306
76114,28.764776221387084,11708
76115,29.890688025815376,8677
76116,25.26533339080212,23201
76117,28.885290772074505,14066
76118,28.531379180759114,7983
76119,30.25919856206386,18916
76120,27.72676906198574,9115
76123,31.751288445552785,18045
76126,29.52418898528857,10604
76127,10.548843187660669,389
76131,32.768444377297676,19857
76132,26.542247191011235,13350
76133,29.086978920705793,23293
76134,31.530844004112534,10699
76135,28.607731305449935,10257
76137,30.71715334556983,29965
76140,32.11832902539152,13154
76148,30.507450947926152,12079
76155,21.778342842967007,4031
76164,30.733644859813083,6527
76177,34.246250206032634,6067
76179,32.94436863476003,30046
76180,27.297544990002223,18004
76182,31.09446145653042,15022
76201,21.894839067702552,14416
76205,24.665140677157844,10485
76207,31.84138048282897,5882
76208,30.645502427783722,12151
76209,27.859445471349353,13525
76210,30.952757449032934,22956
76226,35.589345746056374,11601
76227,41.403862608483074,16362
76244,32.98540298196226,38364
76247,37.527640671273446,6078
76248,31.738682777399593,17628
76249,33.721481305072636,4199
76258,28.011374407582938,3165
76259,37.49175627240143,2790
76262,31.29014084507042,18105
76266,34.322539843157095,7906
