ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
80002,28.892013278656513,10242
80003,31.424386445411095,18621
80004,28.33599043443603,17563
80005,31.462640011342693,14106
80007,32.71208440868377,6587
80010,33.26673860670548,19924
80011,29.983682164129714,24176
80012,32.349911643432165,25465
80013,33.253858243372065,38813
80014,28.990882677086464,19962
80015,32.37495717711545,35028
80016,32.7176492330438,27055
80017,31.70407476441959,19314
80018,34.14731111844276,6062
80019,35.645949720670394,1432
80020,30.219024629427075,26513
80021,28.374009711219013,19565
80022,30.824951685634527,23285
80023,31.65815617989531,9361
80030,28.555871596911825,7383
80031,30.072210247056873,18093
80033,27.87137137137137,11988
80045,20.650210084033613,476
80102,40.08029573590096,2908
80103,41.95257563368765,1223
80104,31.057861795887085,15658
80105,48.857,500
80106,40.76199657240788,2334
80107,41.42157787207292,6363
80108,30.73146223146223,11544
80109,32.877239298510275,10606
80110,27.829573022804464,12366
80111,24.30588538977801,15496
80112,25.15945962429861,16396
80113,26.520118613138685,10960
80116,42.391723708774116,1607
80117,46.837577426015145,1453
80118,41.99016393442623,2745
80120,28.225805438673618,15923
80121,26.397380675203724,8590
80122,26.276363290898725,15789
80123,31.469148251448186,23305
80124,24.388220712449503,10892
80125,38.39089652448657,5064
80126,28.599506620349395,19863
80127,32.963846914277646,21243
80128,30.390762503416234,18295
80129,27.846898328598797,15137
80130,27.44250909090909,13750
80134,30.09400631873139,32918
80135,40.473714615829,1731
80137,31.516100178890877,559
80138,31.77849241859309,16092
80202,27.61763502454992,9776
80203,25.537629103348465,15201
80204,28.344693812119267,15595
80205,25.27012923809009,18493
80206,24.878552188552188,14850
80207,27.413165589412127,12996
80209,25.519951718261858,14084
80210,25.390832455216017,18980
80211,27.25308516063233,19610
80212,27.736375698985878,10551
80214,28.297097423790014,14401
80215,30.010314934708656,9113
80216,25.637099236641223,6550
80218,24.717916873654577,12078
80219,31.042105090096015,30412
80220,27.083386243386244,18900
80221,29.711785492574375,20941
80222,26.810640642216274,12706
80223,29.07034663559569,10299
80224,27.664383561643834,8760
80226,28.71340023612751,16940
80227,30.685857528510827,18151
80228,29.617635528673834,17856
80229,31.903203192407247,27816
80230,27.457019438444924,4630
80231,28.31185802908573,19666
80232,28.904645476772615,11861
80233,33.907646379044685,25960
80234,30.063193911039733,14321
80235,31.37132735986664,4799
80236,29.41842792685823,8422
80237,24.41383201676608,12406
80238,28.45169133192389,9460
80239,31.74164968967641,21107
80241,33.05201017195447,16516
80246,26.84447787807868,8973
80247,30.30400684931507,14600
80249,34.939589835042355,15701
80260,31.9770757789933,16271
80401,27.796991891184934,19115
80403,34.43914297926907,9358
80433,42.49950568462679,4046
80439,35.96251705985572,10258
80454,45.732115677321154,657
80465,32.78700097370984,8216
80470,45.26005361930295,1492
80601,34.16699715954767,18659
80602,35.80899366315912,17201
80640,36.69098186570822,6121
80830,20.28472222222222,72
