ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
90001,37.1924896636972,23461
90002,39.961171766876824,19509
90003,40.480203081479395,28363
90004,35.54295505003378,31079
90005,37.19891081371495,20474
90006,39.34278595158994,29498
90007,33.6378201274498,16634
90008,38.36834455866714,14105
90010,34.65544167886774,2049
90011,37.80490631000463,45309
90012,32.91516106711771,13007
90013,35.16271048894299,4929
90014,33.72511255627814,3998
90015,35.546226821906,11595
90016,36.3431679193315,21421
90017,36.597847645632854,13613
90018,39.54330675618968,23830
90019,34.60622654748467,32779
90020,33.947136145778956,21073
90021,31.192596063730086,1067
90022,33.92646852164137,28464
90023,32.85532620715075,18991
90024,24.08404083546018,19199
90025,26.91942759666414,26380
90026,35.228063978297115,35387
90027,32.820556818669296,23311
90028,34.83897889052528,16296
90029,37.27854063547821,18789
90031,35.809622609768404,17833
90032,36.13925596093077,20886
90033,36.52665222674204,18929
90034,30.251372704532976,32782
90035,28.239454277286136,13560
90036,32.09058940069341,20190
90037,41.56106340215604,27365
90038,36.89871372449626,15782
90039,34.73338200528438,14382
90040,30.40568091844814,5052
90041,34.16626311541566,13629
90042,36.79783712928068,30515
90043,38.83253164556962,19750
90044,39.87029700372567,38114
90045,30.02238074226602,20397
90046,33.913225613405146,28407
90047,39.504050925925924,21600
90048,30.102664374731415,11635
90049,27.991817858413377,16866
90056,34.219563900666266,3302
90057,41.25454083824851,25601
90058,34.156470588235294,850
90059,37.292762958011785,16457
90061,35.61833464670344,11421
90062,39.64403441798461,16503
90063,32.386184556119765,22844
90064,26.718349753694582,12180
90065,35.45732257191812,22178
90066,29.95316658649992,31185
90067,23.76510989010989,728
90068,33.977795145274,10876
90069,31.209690824468087,12032
90071,17.057471264367816,87
90073,17.90909090909091,66
90077,33.23374760994264,3138
90089,11.65372907153729,657
90094,30.066058474389976,4549
90201,35.570484169143285,42733
90210,27.849283305227654,7116
90211,29.393127776326104,3827
90212,25.290745000884797,5651
90220,34.33759204174184,20507
90221,34.476011589078766,20364
90222,35.524027005559965,12590
90230,32.71634234124321,16393
90232,29.127965580823602,8135
90240,34.23242045912203,12415
90241,35.59817650614548,19852
90242,34.28238744610448,19946
90245,27.91785925487877,8455
90247,30.693480007140305,22408
90248,29.71201143946616,5245
90249,31.481179474507865,12141
90250,32.679185012518346,46332
90254,38.30886627906977,10320
90255,35.11231972622831,32728
90260,30.213124587607222,16671
90262,35.23225234804182,28215
90265,36.705122591943955,6852
90266,35.85136098047599,14034
90270,33.99835595649608,11861
90272,31.632208709297764,7647
90274,37.8638482023968,9012
90275,39.13415458343573,16276
90277,36.12384597405633,17114
90278,32.85012787723785,19550
90280,36.15919282511211,40586
90290,44.970621900038154,2621
90291,30.00612652302609,14527
90292,30.89934057408844,12890
90293,34.51263758662862,7359
90301,33.51463070685704,17019
90302,34.38892857142857,14000
90303,34.836205264154515,10562
90304,30.552472757753563,11930
90305,38.49760010970927,7292
90401,29.182511577226915,3671
90402,28.75876194811106,4394
90403,29.449743003997714,12257
90404,26.816491852406816,10678
90405,28.606348649596633,14255
90501,32.313053040765176,19551
90502,28.46846846846847,8436
90503,30.95700884611646,20574
90504,30.362026783414887,15532
90505,34.121211229474426,16991
90601,38.63730911005793,15192
90602,35.923053042398436,11274
90603,38.986503984063745,10040
90604,36.32017498976668,19544
90605,36.65185272738018,16921
90606,33.20925939075481,14083
90631,33.56851582562421,32321
90638,34.79357168983175,21872
90640,36.44015561690989,27889
90650,33.67820383882909,46733
90660,34.69205000690703,28956
90670,33.21007516813926,7583
90701,30.899127589967286,7336
90703,37.7849394195548,21294
90704,8.72451923076923,2080
90706,33.931481427784384,34487
90710,31.069709005430816,12337
90712,33.84621192226891,15232
90713,34.3283144011588,13117
90715,32.820390886287626,9568
90716,27.68897572331227,6014
90717,29.8544247349123,10091
90723,31.786629763678945,23485
90731,33.338323920706515,26383
90732,33.966859364098475,10033
90744,28.05777032621295,24156
90745,30.598509495346903,26434
90746,33.94476480764478,12139
90755,36.024625826662025,5746
90802,37.606894066778764,20815
90803,36.85795911335707,17414
90804,32.314480790787734,19626
90805,32.72624124086681,40101
90806,32.285810394124574,17837
90807,33.579062596361396,16215
90808,33.510534759358286,18700
90810,32.77749442142174,15685
90813,34.335082872928176,23530
90814,37.11211399248602,10913
90815,31.973921709761363,18061
91001,34.03377914951989,17496
91006,34.939826565143825,14184
91007,35.18625055530875,13506
91008,39.024484536082475,388
91010,34.170447154471546,12300
91011,30.874523076923076,8125
91016,35.76627531996372,19846
91020,37.13707540351722,4151
91024,33.292871690427695,4910
91030,35.79575737758522,12233
91040,38.689043041293424,9154
