ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
38002,31.511229778545626,19101
38016,28.579521031624193,26056
38017,27.39886824195152,26154
38018,26.46176139108034,18633
38028,33.77852348993289,2980
38049,35.66604593420236,1611
38053,30.84248167352047,11186
38057,39.43233618233618,1404
38060,38.75577390599676,4936
38066,32.19374523264683,1311
38068,31.96878211716341,3892
38103,21.450036782736635,8156
38104,20.623695686030214,12842
38105,22.22860791826309,2349
38106,25.563699000270198,7402
38107,23.118771442574744,6121
38108,25.64713750668807,5607
38109,27.279461728066085,15011
38111,21.866930171277996,18975
38112,20.58832630098453,7110
38114,23.313057359903116,9083
38115,22.42391140575561,19911
38116,22.738989753730003,16689
38117,20.010551883411644,12557
38118,22.960330258659614,15503
38119,21.617834141687208,12577
38120,19.853496503496505,7150
38122,22.937816764132553,10260
38125,25.953743961352657,20700
38126,24.20057215511761,1573
38127,24.187838672062554,14579
38128,25.55530219636211,19077
38133,27.04071319603356,10488
38134,23.47293498262114,19564
38135,26.21371755982474,14835
38138,22.972305919886566,11284
38139,24.226450116009282,6465
38141,24.05146693187469,10055
38611,32.539088439480835,6626
38632,28.895089978281103,12892
38637,28.643544064322874,12686
38641,29.795559666975024,1081
38651,28.501157109796864,3889
38654,26.42463511379828,25967
38671,24.617219571729724,18026
38680,30.68788972760092,3047
72301,19.903846153846153,9360
72331,27.142492339121553,979
72364,23.0319587628866,7275
72376,21.468599033816425,621
72384,28.301666666666666,300
