ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
33004,32.61761783077797,7044
33009,32.54634053643175,18418
33010,30.70313449463237,19748
33012,32.34544680851064,29375
33013,30.494271327446544,13703
33014,33.15601110063881,19098
33015,37.325990583343525,32708
33016,31.832051627990644,22236
33018,35.20296773680232,25137
33019,34.340476613907164,5623
33020,32.274331809389835,22748
33021,31.15485864228881,23628
33023,33.75343060378626,35708
33024,33.156084162244326,37499
33025,31.72439017937457,37798
33026,34.10454842931937,15280
33027,32.767839215383425,25898
33028,36.83782028148683,13855
33029,38.19725590299936,23505
33030,42.350590921300025,14892
33031,48.78230586840545,3374
33032,45.10214700918807,21332
33033,43.71218613420173,23338
33034,38.30673076923077,6240
33035,43.99428846683182,7266
33054,32.71210330857529,11848
33055,36.98608654639783,16962
33056,35.502981964503846,13917
33060,30.08954576439239,16137
33062,30.899005216547373,8243
33063,29.199912447103458,27412
33064,27.418209929565368,29105
33065,32.42971857410882,26650
33066,31.02295798844292,6403
33067,29.39398546425393,13484
33068,32.05243113329636,27045
33069,25.262103505843072,10782
33071,32.36591550768587,19126
33073,30.17933029257982,17978
33076,32.808790030818706,14926
33109,36.14356435643565,101
33125,33.99254416150493,26154
33126,32.263166005316485,25957
33127,34.86822858061405,12442
33128,35.50866882162798,3403
33129,27.776200274348422,7290
33130,32.12951006456513,15798
33131,25.13753813027095,11146
33132,26.144150139757752,7513
33133,29.055846645367414,15650
33134,28.243395845936682,19836
33135,33.66101334951456,16480
33136,32.740449915110354,7068
33137,28.107832054905128,12385
33138,34.1859855022437,14485
33139,25.942955589586525,20896
33140,30.34161032575292,8135
33141,34.09978875826598,21776
33142,37.36170711939598,23443
33143,34.381480720498594,14601
33144,32.74749963229887,13598
33145,30.042886961059292,15331
33146,23.47339390006489,6164
33147,37.24079288829993,18111
33149,28.036049836601308,4896
33150,37.62542831379621,11090
33154,33.11404515882128,5226
33155,32.97675685491193,22028
33156,34.89087533521282,14543
33157,43.785476382721036,29724
33158,38.864996260284215,2674
33160,35.669355292001576,17791
33161,36.489508946481585,24926
33162,36.96782189475599,21987
33165,35.10270434518384,26328
33166,28.954938271604938,11340
33167,37.21374865735768,8379
33168,34.58849664754827,12379
33169,34.90983606557377,18361
33170,42.1909009009009,5550
33172,32.53787878787879,21648
33173,36.65133883883884,15984
33174,34.107117575133536,15539
33175,39.516078259483585,25096
33176,37.48509359833603,25962
33177,45.199117759877254,26070
33178,30.92195755738415,23090
33179,35.56376205202838,21988
33180,34.830330004342166,13818
33181,36.4778122326775,9352
33182,38.749694189602444,6540
33183,40.7720900357462,17904
33184,37.59820977040558,9887
33185,43.47275249355968,15139
33186,36.190538939887475,33770
33187,46.211888033902085,8967
33189,46.100801637387,11726
33190,48.1518156237438,7463
33193,45.74494170439521,24959
33194,42.312265758091996,2935
33196,45.344765129739734,25397
33301,29.184158780877475,8137
33304,28.22836992152578,10067
33305,26.97627511591963,6470
33308,29.014288273761533,11163
33309,29.835343576397577,19981
33311,32.13925658271322,27952
33312,29.40065356840279,24787
33313,31.548849326964827,27636
33314,29.01754861702952,12907
33315,24.612123974475843,7679
33316,28.332804712279113,4414
33317,30.988203266787657,18183
33319,31.929475259648964,22049
33321,33.247623243518994,21563
33322,31.384474434297015,17191
33323,29.13741000799929,11251
33324,29.600843087501023,24434
33325,27.46204500330907,15110
33326,32.74024310118266,15220
33327,35.47882775119617,8360
33328,30.386908020804817,14612
33330,32.16844306529951,7412
33331,35.72442938047023,11654
33332,39.94947836166924,5176
33334,28.375313646014284,15543
33351,29.676535389699808,18155
33401,24.197250564685724,12839
33403,23.83822832780673,6333
33404,24.645011397510082,11406
33405,25.36222986247544,10180
33406,27.814343065693432,13700
33407,25.666548295454547,14080
33408,23.60639455782313,7350
33409,27.183971261444558,15728
33410,23.614570917759238,16780
33411,29.63508324583771,33335
33412,35.79234891336707,6718
33413,30.55237593632959,8544
33414,31.0308125863163,26791
33415,29.461595394736843,24320
33417,26.17216067423367,14713
33418,25.13807680857398,16795
33426,27.637089397089397,12025
33428,29.052466124661247,18450
33430,30.334711811837686,7738
33431,22.741002494358,8419
33432,23.53851261620186,9036
33433,26.006691157176594,15244
33434,28.280868902439025,6560
33435,26.5495661402085,16019
33436,29.00745501285347,19450
33437,32.87723316536876,10915
33438,27.88957055214724,163
33441,27.826241916519695,13608
33442,25.542736807333387,12109
33444,24.128028679742872,12134
33445,24.67271524101421,14356
33446,28.978552929750727,6178
33449,28.982142857142858,4732
33458,24.81566416917583,28562
33460,31.79120733165095,15058
33461,29.759520790520746,22871
33462,29.5555267926482,15452
33463,31.683107515352372,30777
33467,30.03299893276414,23425
33470,40.7024415817855,13352
33472,31.043781639075114,7309
33473,29.334005376344088,4464
33476,39.0098001537279,2602
33477,24.602802479116143,3711
33478,33.248282704930546,6551
33480,26.090847304032625,2207
33483,25.674106198434526,4727
33484,25.00958445902483,7773
33486,23.18599939215885,9871
33487,24.201815372730785,7767
33493,29.438184663536777,639
33496,27.09930337385603,7321
33498,30.638276384447064,5941
