ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
85003,21.5456405011506,3911
85004,20.7423653525819,3602
85006,25.784986750579662,12076
85007,25.160136435193284,5717
85008,24.556599079487498,32156
85009,29.20183004367778,18087
85012,22.227261369315343,4002
85013,25.205818403200556,11498
85014,23.312635177562267,14333
85015,29.34655610770831,17306
85016,23.346598101265823,18960
85017,30.860586884695078,17857
85018,22.122153976490523,18886
85019,31.520965876229035,10374
85020,26.386017393449702,16213
85021,28.776955024864748,18299
85022,28.13090319342009,25897
85023,26.912935005117706,15632
85024,28.84806820800369,13019
85027,26.04217806841046,19880
85028,24.838245655237202,8516
85029,29.332264701660367,20899
85031,33.680131998179334,13182
85032,25.549689268671624,36044
85033,33.89178418148375,26096
85034,23.210926365795725,2105
85035,34.05326656941214,25363
85037,32.20768822255811,24479
85040,25.439649507119388,13695
85041,30.173196529731015,25243
85042,25.815918403705684,22452
85043,33.3233302267785,16095
85044,26.655259114401453,21477
85045,35.03976751300092,3269
85048,27.89296636085627,17331
85050,26.55075736520289,14392
85051,32.26957087831607,18433
85053,28.03038559702007,14497
85054,25.14126770060688,4449
85083,31.88100338218715,8870
85085,29.701303307030766,11279
85086,33.264507918552034,17680
85087,38.80253300035676,2803
85118,31.71877807726864,3339
85119,30.46364193746168,8155
85120,32.010960975148826,10583
85121,23.03048780487805,410
85122,25.159367396593673,22605
85123,29.961074230537115,3314
85128,24.122243612180608,5714
85131,24.5481276371308,3792
85132,38.05534300791557,7580
85138,39.42380570299963,16202
85139,41.760995370370374,6912
85140,38.14463866423167,19165
85142,36.911312029815726,28978
85143,42.39104208555779,14423
85147,25.245214220601643,1097
85173,33.21137152777778,1152
85192,31.87800875273523,914
85193,29.56924778761062,2260
85194,31.05534796823914,2141
85201,25.812946464403243,24918
85202,24.728054636147498,21451
85203,26.90738742831185,17611
85204,26.47685984123498,31871
85205,27.961323644225573,16651
85206,27.702159156556903,13848
85207,30.222389729125126,20563
85208,29.389536130369525,13991
85209,30.354836725908616,16261
85210,26.025584206285252,19856
85212,31.851142960812773,16536
85213,26.049126568707827,15857
85215,26.451975213013167,6455
85224,24.472674083595585,22561
85225,26.50210463868015,35398
85226,24.79680398067078,20901
85233,27.300016466326362,18219
85234,29.314846679902935,22665
85248,29.499707308914534,11958
85249,31.971844219803007,15432
85250,22.66629895201324,9065
85251,21.167121483014963,21254
85253,25.82784173613868,7557
85254,23.87654438319711,21044
85255,26.117621899059024,16366
85257,22.904045587123257,18514
85258,23.33542880507002,9783
85259,26.462272867262087,9741
85260,22.139767146719638,18123
85262,34.51157142857143,3500
85263,35.728767123287675,730
85264,24.363445378151262,476
85266,31.568917018284107,4266
85268,27.919698544698544,9620
85281,22.136332035595107,35960
85282,22.862594779574582,29806
85283,23.493433218854964,26497
85284,23.75370757440032,10047
85286,28.102125608300433,21782
85295,30.218466374463187,22587
85296,30.424137762100724,20412
85297,33.31817517180875,13678
85298,34.790116327035726,12121
85301,33.647274079292394,25551
85302,30.849651538330782,17649
85303,33.858755595925516,15413
85304,30.415017640742445,13038
85305,31.556043312847528,6834
85306,28.40804786100639,12202
85307,27.97357104461566,5581
85308,29.459148922626436,31419
85309,5.622713414634147,656
85310,28.68723783557047,9536
85322,36.790780141843975,282
85323,30.795664553561835,18614
85326,34.293505621748615,23836
85331,29.609491989372835,12421
85333,21.92676767676768,198
85335,32.35608299276957,15905
85338,33.747884344146684,21270
85339,33.93437575757576,20625
85340,34.080756578947366,15200
85345,30.945285079166993,25642
85351,28.475050346833743,4469
85353,34.86722421547324,19789
85354,36.91823785351704,2758
85355,38.86021176949705,4911
85361,46.342137845645894,2423
85363,31.760095011876484,2526
85373,31.730163360560095,5142
85374,31.37810704370844,15489
85375,31.389550622631294,3694
85377,32.1183395291202,807
85379,34.47030687630233,21116
85381,29.25672825445035,11853
85382,29.72347455533597,16192
85383,34.5325,22800
85387,31.964825888146326,2843
85388,34.33556032768631,12573
85390,22.032359409362236,3183
85392,32.76892165211837,18788
85395,32.284174104904224,9971
85396,38.485116938341605,7055
85618,36.2441113490364,467
85631,49.02106227106227,1092
85739,36.4152724665392,4184
