ZCTA5CE,commute_min_proxy_2019,ttw_total_2019
98001,36.35032496495476,15694
98002,33.97021806434244,14858
98003,36.61844472725677,22787
98004,24.139773414728044,18183
98005,25.466041534223354,9438
98006,30.52403700792163,16537
98007,25.01548733480176,14528
98008,26.54129208531641,11346
98010,40.98451406194375,2809
98011,33.756717906594695,17044
98012,38.9736468097974,33070
98014,38.02756141402037,3338
98019,39.587986598596046,6268
98020,32.7785105173394,8795
98021,36.553300183911176,14681
98022,37.98715313463515,9730
98023,40.241649225617415,23890
98024,38.07121513944223,3012
98026,36.05890676589277,19081
98027,32.218213975839284,14983
98028,38.2706215705676,11117
98029,36.36542775949746,13372
98030,35.38737318736746,17447
98031,35.82951004620178,18614
98032,34.32976943587599,19127
98033,27.48525528169014,20448
98034,33.81016188273704,22053
98036,34.68114390579599,19617
98037,34.7181086793482,14667
98038,42.562689873417725,15800
98039,23.864710676446617,1227
98040,27.926081342801808,10843
98042,38.30499916888298,24064
98043,34.68045043381946,10834
98045,35.687532981530346,7580
98047,32.24574141301313,3581
98051,43.00711020822752,1969
98052,26.8357564294385,35423
98053,34.62237006709883,8793
98055,36.75964149918523,12887
98056,33.57659734133791,18656
98057,33.851524628616104,6395
98058,39.1735944200952,21219
98059,34.843776755136986,18688
98065,36.48477829252151,7555
98070,45.56130718954248,3825
98072,34.014781898975244,11027
98074,36.25553088573468,12611
98075,37.285017688115495,10459
98077,36.00018119224497,5519
98087,35.9607453651154,21144
98092,37.33249431995367,22447
98101,25.2682246250436,8601
98102,27.10416105212095,18553
98103,30.61662443908544,32759
98104,25.6675820306999,7101
98105,26.889902491874324,23075
98106,31.88856197131298,13595
98107,32.34194272880404,17810
98108,32.053901746537036,11623
98109,24.803303079898825,20163
98112,28.301478196600147,13530
98115,31.10213805530529,28858
98116,32.86072851849262,14303
98117,32.44499414831365,18798
98118,34.616814533164344,23670
98119,26.67495981784088,14932
98121,25.855069659442723,12920
98122,28.579068227895238,24169
98125,32.66068376068376,22230
98126,33.743631100082716,12090
98133,33.30686612222781,25837
98134,31.94812680115274,347
98136,33.73583945732052,8845
98144,31.125091461698656,17767
98146,34.51654639550988,13719
98148,29.804355310724738,5809
98155,33.82995324207087,17751
98166,31.992060436916564,10391
98168,29.757066200786173,16027
98177,36.22230929989551,9570
98178,36.99298106687783,13891
98188,29.202552931284874,13083
98198,33.34940138626339,17457
98199,29.032330567081605,11568
98201,32.2467806553155,13978
98203,30.81207559981892,17672
98204,32.90576097493422,21663
98208,33.92030761579994,28152
98223,35.24051011258344,20074
98241,28.756515775034295,729
98251,48.87420147420148,2035
98252,40.2365876122496,4343
98256,50.88486842105263,152
98258,39.460192730565254,15462
98270,34.05509473684211,23750
98271,35.10296880871853,13305
98272,38.087393539476714,13033
98275,31.535710667612197,9871
98288,40.45652173913044,92
98290,38.53298301864387,16842
98292,36.26028354632588,10016
98294,39.75909345271405,3574
98296,39.191791899723704,14839
98304,44.27914110429448,489
98321,42.509214743589745,7488
98327,25.21336644840822,4429
98328,45.44637294170005,4494
98329,39.63777255237281,4678
98332,34.50687182551539,6694
98333,36.125773993808046,1292
98335,29.781348186232506,10503
98338,46.544938701126576,12072
98354,33.8625453530561,3583
98360,44.65279352226721,6175
98371,34.66193707587909,9726
98372,33.661301501732765,12985
98373,37.04032520325203,12300
98374,38.39067385444744,18550
98375,41.470864179432674,13643
98387,40.76606643198845,22158
98388,30.864855451062347,2871
98390,32.16542896228259,5117
98391,41.49645632827286,24833
98394,42.2022630834512,707
98402,31.09722222222222,3132
98403,28.008588416648315,4541
98404,34.24231625835189,15715
98405,31.618000179195413,11161
98406,30.953167792587184,10954
98407,32.96923076923077,9685
98408,32.89704081632653,9800
98409,31.91703614638912,13307
98418,34.01482741857073,4114
98421,43.42567567567568,148
98422,36.863610122197635,10393
98424,32.130265606496366,5911
98433,12.870302171860246,10590
98438,9.552173913043479,575
98443,34.46471500581621,2579
98444,31.629786257539994,15252
98445,36.69865005192108,14445
98446,34.70745388857197,5259
98447,10.836032388663968,247
98466,29.36706289497442,13292
98467,30.493708851499633,6835
98498,32.52175463623395,12618
98499,30.75539594574887,13714
98580,47.03769154720712,4046
