ZCTA5CE,year,job_count,job_accessibility
30002,2015,1385,334813.2275148083
30002,2016,1370,347621.85144977615
30002,2017,1456,355694.1456346406
30002,2018,1675,360456.68797189835
30002,2019,1753,363272.63789126836
30002,2020,1257,350528.4137395595
30002,2021,1439,356325.3666528747
30002,2022,1243,371987.91816129873
30002,2023,1622,383002.3233093975
30004,2015,29985,142309.2500905455
30004,2016,34237,147502.00534170293
30004,2017,35807,151179.59090069882
30004,2018,36965,154294.14047980236
30004,2019,36931,155393.31922714287
30004,2020,34749,148910.58594446874
30004,2021,36169,153897.7393366646
30004,2022,37069,163503.6057915009
30004,2023,37308,167843.2948471408
30005,2015,47440,207428.18394974797
30005,2016,47847,213684.7919288701
30005,2017,48159,218881.73872932314
30005,2018,49926,222521.1745131623
30005,2019,51070,223802.88284714994
30005,2020,49739,215576.09162638336
30005,2021,50611,222135.7744022868
30005,2022,56419,235589.3498033416
30005,2023,59182,241477.24296424448
30008,2015,4121,222477.90847411897
30008,2016,4839,231406.9683982467
30008,2017,4845,234764.4407993515
30008,2018,4750,239517.98829968073
30008,2019,4809,241822.36450513572
30008,2020,4240,232966.1820120337
30008,2021,4485,238064.53750349366
30008,2022,4278,260304.02466672877
30008,2023,4633,260145.02166316463
30009,2015,26346,239029.65855996695
30009,2016,24159,245919.12250733303
30009,2017,24226,252351.4228530146
30009,2018,26348,256432.92506760254
30009,2019,26787,257677.68786366083
30009,2020,25273,246329.8101068833
30009,2021,27505,254529.52638814237
30009,2022,31235,270559.7873100404
30009,2023,34169,277588.6245686927
30011,2015,2704,45279.74596117788
30011,2016,1667,46954.95249071882
30011,2017,1738,47601.668612198635
30011,2018,1895,50144.065540463416
30011,2019,1931,50939.72765234312
30011,2020,1748,49699.50331754397
30011,2021,1841,51712.99641510294
30011,2022,1975,53162.19901283871
30011,2023,2101,56146.23318036923
30017,2015,2638,110201.03835000469
30017,2016,2650,113962.53587720043
30017,2017,2811,116153.52873716722
30017,2018,3180,119169.50277601862
30017,2019,3162,119482.22049863864
30017,2020,3006,116308.31493454037
30017,2021,3064,120520.95036293785
30017,2022,3270,122802.50999864707
30017,2023,3629,129278.89656056518
30019,2015,6827,68733.60466459821
30019,2016,7457,71269.44004183632
30019,2017,7483,72532.60355698658
30019,2018,10363,76121.36949261128
30019,2019,10667,77063.63150223845
30019,2020,11031,75154.94459989828
30019,2021,11731,78089.23788702187
30019,2022,12134,80038.02753084847
30019,2023,12593,84473.83525377796
30021,2015,3002,332587.6398437104
30021,2016,2911,344938.2408496749
30021,2017,2838,352170.4798351143
30021,2018,2703,355918.6526484614
30021,2019,2672,357746.5215478227
30021,2020,2874,345616.84114687407
30021,2021,2620,352649.8853523945
30021,2022,2395,366681.69745470973
30021,2023,2926,378156.4515656709
30022,2015,29412,280202.67359546444
30022,2016,30893,287508.11375215487
30022,2017,33976,295152.78792130284
30022,2018,31703,297764.7198102825
30022,2019,31024,298929.7904072621
30022,2020,28950,287863.37843444775
30022,2021,30330,296416.4870660311
30022,2022,33021,312308.9369772452
30022,2023,31711,320313.6176592878
30024,2015,40409,165290.77740832284
30024,2016,40166,170225.3223856197
30024,2017,40617,173583.89338460498
30024,2018,43158,177291.92863720472
30024,2019,44729,179544.9461350089
30024,2020,43792,174359.15867791875
30024,2021,48090,180165.53938982883
30024,2022,50098,187521.42628366163
30024,2023,50217,192519.4564368715
30030,2015,21170,381393.8254153354
30030,2016,21521,396410.3641578095
30030,2017,22168,406431.1691343509
30030,2018,22932,412398.2005131488
30030,2019,22729,416415.8017932765
30030,2020,21835,401358.8706768091
30030,2021,23714,407820.2663031715
30030,2022,24873,427300.968136857
30030,2023,16259,440043.57504118845
30032,2015,6943,298079.35003546544
30032,2016,6683,309746.4430138576
30032,2017,6672,317098.9581440036
30032,2018,6846,321813.61477466475
30032,2019,6999,324862.8171321768
30032,2020,7180,313672.3784374202
30032,2021,7223,317238.78770280187
30032,2022,6520,332049.90689716116
30032,2023,6459,341964.101811317
30033,2015,13325,404090.44936089043
30033,2016,14682,419797.5455871176
30033,2017,15487,429841.20586370025
30033,2018,16010,434584.8600237319
30033,2019,15353,437840.0660522157
30033,2020,17302,422808.55596500396
30033,2021,19584,431743.4879653273
30033,2022,19167,451010.7311409616
30033,2023,18837,466154.9080180134
30034,2015,9050,222291.6100238237
30034,2016,9971,231509.03168878073
30034,2017,9837,236835.13357658777
30034,2018,10259,240341.3890709454
30034,2019,10164,243173.67388407467
30034,2020,9529,235501.77150114678
30034,2021,9460,236443.99555960868
30034,2022,7979,248354.9151526771
30034,2023,10247,255624.53084587224
30035,2015,8984,214268.4253352408
30035,2016,8689,222330.79527383018
30035,2017,8397,226902.12446214067
30035,2018,8198,229889.83164453247
30035,2019,7984,231713.42747134416
30035,2020,8200,224263.659014327
30035,2021,7680,226726.79663920423
30035,2022,7769,236147.17684908616
30035,2023,7511,242783.71461134814
30038,2015,6192,120173.05668818619
30038,2016,6634,124868.01356741943
30038,2017,6554,127336.24746746215
30038,2018,6543,129250.9780277214
30038,2019,6407,130563.4318519036
30038,2020,6068,126889.00497573744
30038,2021,6761,128160.65265079286
30038,2022,7067,133584.582323355
30038,2023,7115,137028.24050556726
30039,2015,5759,116017.93638796345
30039,2016,6057,119995.15194416701
30039,2017,6142,122000.3537204768
30039,2018,6191,124051.1049790756
30039,2019,6337,123982.5064314121
30039,2020,6063,120294.75003311862
30039,2021,6175,123333.51837529677
30039,2022,6191,126639.39234128462
30039,2023,6266,131282.2885434688
30043,2015,29202,152752.49678947762
30043,2016,30569,157592.73567700514
30043,2017,30918,160422.70750615632
30043,2018,31305,164580.82497685764
30043,2019,31978,166383.90641508988
30043,2020,30444,161786.50042538138
30043,2021,29746,167743.7199997835
30043,2022,29557,171712.18903905698
30043,2023,33045,180272.1494327796
30044,2015,11407,202244.00259555454
30044,2016,11019,208148.0917356256
30044,2017,11004,212066.49410059096
30044,2018,11115,215330.38295715788
30044,2019,11398,216171.05362091135
30044,2020,10334,210000.9246469245
30044,2021,10890,216790.89805103262
30044,2022,11505,221151.96693115556
30044,2023,11482,231462.4245995162
30045,2015,2919,95970.48173611528
30045,2016,2918,99248.40400873637
30045,2017,2847,101219.31110798051
30045,2018,2919,104570.09539551163
30045,2019,2783,105341.35842456964
30045,2020,3088,102634.78356832518
30045,2021,3008,106553.90245223005
30045,2022,3269,108648.55020714461
30045,2023,4233,114756.03412255704
30046,2015,30426,151310.77419583715
30046,2016,30952,155868.08089213056
30046,2017,32946,159142.23736098368
30046,2018,33573,162972.6456259933
