ZCTA5CE,year,job_count,job_accessibility
60002,2015,5857,51456.53025226426
60002,2016,5668,51448.76631758757
60002,2017,5707,51443.707787504856
60002,2018,5756,51939.040533746425
60002,2019,5543,51367.07075045849
60002,2020,5073,47419.77862513125
60002,2021,5280,48292.024122610484
60002,2022,5456,50004.2077934518
60002,2023,5438,50606.69383221285
60004,2015,29186,393154.86469432164
60004,2016,24807,400685.0039005062
60004,2017,20568,397247.9459112154
60004,2018,20139,400226.1560064374
60004,2019,19778,401074.189097331
60004,2020,17813,373565.5264794163
60004,2021,17814,373027.3609984403
60004,2022,19187,388290.44321651635
60004,2023,19386,395619.8216604347
60005,2015,20211,456443.955566608
60005,2016,24695,467045.22881357966
60005,2017,25000,461619.72643561097
60005,2018,25205,465855.0008438785
60005,2019,25042,468055.53734830033
60005,2020,23542,436432.7530269205
60005,2021,22976,433939.9383358388
60005,2022,23017,451405.0877322059
60005,2023,23700,460246.4403761535
60007,2015,56046,496305.30517419195
60007,2016,55563,508148.80036984954
60007,2017,55470,503205.10674847476
60007,2018,56590,508211.07811915386
60007,2019,59977,511393.61454151035
60007,2020,53456,477567.3211298068
60007,2021,57711,473769.61949490546
60007,2022,59799,493370.00779493805
60007,2023,53450,503191.04113297636
60008,2015,20246,421729.81293907785
60008,2016,21663,431798.05754763866
60008,2017,21539,427087.12563726056
60008,2018,24595,431472.6450546646
60008,2019,26986,432826.1795739392
60008,2020,25259,402978.2990936045
60008,2021,24564,401449.24702795653
60008,2022,26273,417844.1364410499
60008,2023,27094,425633.300562562
60010,2015,21697,210416.2146687939
60010,2016,20465,212168.14017310302
60010,2017,20847,211413.96549711123
60010,2018,20929,213275.4808178725
60010,2019,20460,211874.11497644195
60010,2020,18446,196627.82525630365
60010,2021,18454,197030.38151909254
60010,2022,19824,205274.7620684029
60010,2023,19866,208389.52084697725
60012,2015,4285,93078.16455419845
60012,2016,4219,93968.31248484222
60012,2017,4279,94464.79516674917
60012,2018,4349,94567.60764838626
60012,2019,4333,92725.63607906949
60012,2020,3874,86233.61972536481
60012,2021,3727,87338.04336338634
60012,2022,3599,90698.37382822519
60012,2023,3509,92351.00535355185
60013,2015,6921,134921.7172072396
60013,2016,7041,136042.37536597106
60013,2017,7162,136131.9109753814
60013,2018,7177,137481.34665368247
60013,2019,7376,136230.9803943482
60013,2020,7028,126547.09754970524
60013,2021,7330,127542.76815271913
60013,2022,7659,132673.8584074393
60013,2023,7847,134694.4019619288
60014,2015,20591,103320.00631682112
60014,2016,21023,104279.0412755571
60014,2017,21017,104468.98126922552
60014,2018,20993,105242.30047463047
60014,2019,21052,103966.69605384754
