ZCTA5CE,year,job_count,job_accessibility
75001,2015,45069,506065.9439525759
75001,2016,49414,528951.3991252673
75001,2017,49123,537960.7535459219
75001,2018,51028,542164.3656980451
75001,2019,54365,549839.1986669238
75001,2020,49954,536893.3859722769
75001,2021,53518,544545.635763758
75001,2022,57987,585692.8849144471
75001,2023,57550,604140.6306913954
75006,2015,65635,482190.05425275106
75006,2016,69055,504644.3350183032
75006,2017,70902,515085.8260382525
75006,2018,69388,519454.8900493179
75006,2019,68933,527333.5331701441
75006,2020,70672,516026.23376282275
75006,2021,68949,523699.10348980234
75006,2022,67211,561113.7638332264
75006,2023,69492,579653.011966518
75007,2015,18231,375946.0272718809
75007,2016,20466,393649.3981478933
75007,2017,19738,401706.1463554502
75007,2018,19247,406750.71185130463
75007,2019,20109,413611.192576968
75007,2020,20655,405234.61612209963
75007,2021,20817,412416.3988694253
75007,2022,22005,442514.9855458068
75007,2023,21055,457379.03474515135
75010,2015,5027,313932.38906940015
75010,2016,5576,328637.588737427
75010,2017,5861,335496.4609679592
75010,2018,5905,340785.4585280047
75010,2019,6234,347013.9267094928
75010,2020,5836,340260.03685858165
75010,2021,6176,347108.2891511094
75010,2022,6196,372781.264192672
75010,2023,6385,385899.63571219676
75019,2015,31950,424295.6814073864
75019,2016,32611,442557.75667688646
75019,2017,34427,454625.83086150506
75019,2018,37478,462757.07185885124
75019,2019,38513,471696.79175567895
75019,2020,41649,462619.9211284157
75019,2021,44874,471515.6702795399
75019,2022,48414,504460.760336165
75019,2023,49545,522110.72206698963
75022,2015,3803,207184.05752683902
75022,2016,4054,216678.03909259787
75022,2017,4247,223981.76101704914
75022,2018,4434,230339.47913864514
75022,2019,4483,237510.16650844435
75022,2020,4103,233586.60675239423
75022,2021,4421,239488.93767035758
75022,2022,5033,257351.92345501206
75022,2023,5542,269046.7351473725
75024,2015,66762,197012.810794421
75024,2016,71498,205666.54205391824
75024,2017,76746,209802.21740654416
75024,2018,82969,213364.26405573508
75024,2019,91131,217408.54849912235
75024,2020,92241,213380.84423253906
75024,2021,97331,217305.99568820366
75024,2022,109630,234515.88778103227
75024,2023,117002,242784.02454648606
75028,2015,21269,241185.96324044565
75028,2016,23135,251738.84167218697
75028,2017,25185,259509.5106628244
75028,2018,24808,266466.8193551854
75028,2019,26033,273580.58243294054
75028,2020,26709,268749.9277463762
75028,2021,28498,276311.51983967714
75028,2022,29996,296325.30358142895
75028,2023,31189,308409.5110887544
75033,2015,8873,82049.98836511487
75033,2016,10222,86115.48742267748
75033,2017,10918,88420.1725081037
75033,2018,12475,91289.45097534513
75033,2019,13080,94094.45006909293
75033,2020,12677,92876.86714318274
75033,2021,13987,95958.37526528409
75033,2022,15960,104681.51466394275
75033,2023,18672,109754.22006872582
75034,2015,31583,142373.6850230968
75034,2016,34282,148946.80971833592
75034,2017,37642,152369.9485084124
75034,2018,39874,156151.53333833
75034,2019,42344,159736.67074128322
75034,2020,40803,157334.15790670787
75034,2021,45194,161303.94671453032
75034,2022,51248,174946.35104750056
75034,2023,55164,182020.37477265054
75036,2015,1440,138559.4557238435
75036,2016,1339,144923.3712403823
75036,2017,1564,148501.84436746594
75036,2018,1551,152728.7571338078
75036,2019,1920,156822.3163616545
75036,2020,2120,154482.48082302528
75036,2021,2591,159011.29301377965
75036,2022,3227,172386.77968477926
75036,2023,3809,180030.8957976396
75038,2015,38586,519447.29839970946
75038,2016,40000,541902.6611766837
75038,2017,41300,555083.1287511493
75038,2018,40020,559080.9223579873
75038,2019,40514,567430.5439381246
75038,2020,41329,553919.0209266454
75038,2021,39822,559976.7105982992
75038,2022,42458,599974.2001877055
75038,2023,44566,620879.7087459281
75039,2015,44951,560784.0495999787
75039,2016,48964,586161.6496927752
75039,2017,50726,598828.6010597801
75039,2018,43994,600919.2607221408
75039,2019,45640,609770.121315338
75039,2020,45600,594582.4959302498
75039,2021,47781,600355.014954979
75039,2022,52822,642404.9622950435
75039,2023,56142,664318.7428463767
75040,2015,12517,241113.21386200743
75040,2016,13361,249908.4664023255
75040,2017,13614,254181.5864729709
75040,2018,13952,253688.4267567313
75040,2019,13809,256961.95098710834
75040,2020,13319,250570.84214433993
75040,2021,13879,252860.67546678387
75040,2022,14570,269523.92613975087
75040,2023,14736,277080.34340041736
75041,2015,19639,320630.4043261347
75041,2016,19384,332026.8321330142
75041,2017,18948,337593.76471862633
75041,2018,19550,337357.43037346867
75041,2019,19637,341127.52003527834
75041,2020,18718,332214.6091310398
75041,2021,19064,335361.757759094
75041,2022,20264,356406.25326779654
75041,2023,19725,365726.72604388
75042,2015,28285,351747.30730553356
75042,2016,29162,364440.9944660563
75042,2017,29262,370434.4728923993
75042,2018,27561,370192.81925590325
75042,2019,26884,375167.69637521275
75042,2020,26220,365587.32215750084
75042,2021,26763,368890.2937430484
75042,2022,26773,392806.4609686519
75042,2023,27214,403546.75929549907
75043,2015,10314,199290.50158248688
75043,2016,11140,206566.6189456779
75043,2017,11878,210537.57420445504
75043,2018,11679,209929.84109567537
75043,2019,11919,212305.03224152047
75043,2020,11984,206894.06894942516
75043,2021,11744,208939.9616842465
75043,2022,11955,222211.239904185
75043,2023,12396,228224.73303932656
75044,2015,5855,259419.01729384137
75044,2016,5935,268753.8403340753
75044,2017,6011,273360.7002437245
75044,2018,5577,273376.1154424419
75044,2019,5696,277482.911105209
75044,2020,5545,270479.50178322254
75044,2021,5788,272671.7261360378
75044,2022,6345,292008.945183998
75044,2023,6626,300649.1477715531
75048,2015,1564,154758.59777101548
75048,2016,1639,160446.38665959888
75048,2017,1680,163383.07515284565
75048,2018,2051,163249.59864525346
75048,2019,1923,165549.33585156364
75048,2020,2234,161291.50650443332
75048,2021,3188,162815.32771927796
75048,2022,3073,174247.64035634187
75048,2023,3307,179519.5551762732
75050,2015,34736,403055.30224920134
75050,2016,36793,417754.86259952054
75050,2017,38741,428254.6149274298
75050,2018,38578,431703.8173601873
75050,2019,39842,436683.12654882955
75050,2020,38306,425919.865165059
75050,2021,38228,431860.8362682961
75050,2022,39020,465500.2826707193
75050,2023,40756,479983.7222309557
75051,2015,15327,338878.56280040205
75051,2016,16215,350574.35353672085
75051,2017,16461,359445.9667846415
75051,2018,17210,362627.14693989843
75051,2019,16609,366456.2683909351
75051,2020,16322,357508.3098042096
75051,2021,16747,363278.3225094203
75051,2022,17355,392069.5203230134
75051,2023,18387,403636.86583856586
75052,2015,18997,244141.42042615643
75052,2016,19656,251510.28156467644
75052,2017,20187,257945.95136761456
75052,2018,20762,260906.72861955484
