ZCTA5CE,year,job_count,job_accessibility
80002,2015,11695,301593.51775727276
80002,2016,12700,311234.60982583015
80002,2017,12872,313497.1574290337
80002,2018,13215,323291.40790068265
80002,2019,13950,327805.7945099986
80002,2020,13923,309786.3210232433
80002,2021,13003,309269.64237240126
80002,2022,14103,330739.9088110978
80002,2023,15412,336295.9496734859
80003,2015,7752,308027.9897145993
80003,2016,7902,317999.23811685154
80003,2017,8026,321132.1471716097
80003,2018,8012,331840.1294508165
80003,2019,7936,336598.90542238986
80003,2020,7491,318283.5707978359
80003,2021,7648,317767.3666311267
80003,2022,8302,341519.39408012654
80003,2023,8258,346946.1858637566
80004,2015,5702,265763.51582040585
80004,2016,5591,274510.6649708001
80004,2017,5881,276492.9420838662
80004,2018,6101,285201.1570787245
80004,2019,6286,289383.10409207
80004,2020,5945,273675.477085963
80004,2021,5961,273357.9645627857
80004,2022,6294,292255.1579340596
80004,2023,6256,297444.53147907567
80005,2015,3609,228078.75938304502
80005,2016,3727,236217.1200179701
80005,2017,4044,237432.8250172407
80005,2018,4391,245119.8263384902
80005,2019,4586,249162.808277521
80005,2020,4579,235756.8170955516
80005,2021,4161,236273.29126764016
80005,2022,4452,252642.22979590882
80005,2023,4766,257405.9126129284
80007,2015,2169,161252.77289548033
80007,2016,2067,167506.46876897197
80007,2017,2214,168011.59623584888
80007,2018,1749,172961.4507558179
80007,2019,1777,175936.98603886025
80007,2020,1862,165665.64918377297
80007,2021,2244,166727.83330492183
80007,2022,2641,178496.50972247295
80007,2023,2838,181825.95754279854
80010,2015,12529,368396.26360981097
80010,2016,12777,379020.2711565767
80010,2017,12887,382864.4394056179
80010,2018,12348,398280.3419816343
80010,2019,11764,401801.31672721467
80010,2020,11417,382892.386716764
80010,2021,10988,376400.9969627175
80010,2022,11677,412415.94393935555
80010,2023,11598,421712.4910171122
80011,2015,33439,262176.9722663324
80011,2016,34711,270728.39195372415
80011,2017,35749,275082.76900709834
80011,2018,36833,285829.55839969125
80011,2019,37130,288566.44570190285
80011,2020,38708,277241.2083125855
80011,2021,39942,271894.91569376265
80011,2022,44124,299982.4528051676
80011,2023,46521,308440.3565735953
80012,2015,19654,341870.7064007647
80012,2016,22941,352386.1692431611
80012,2017,23668,356067.3992366884
80012,2018,23750,369169.26792776375
80012,2019,24443,372986.02755592053
80012,2020,22555,356106.45761037926
80012,2021,19413,351378.7809401019
80012,2022,22588,383042.0512299131
80012,2023,24374,391852.7450117991
80013,2015,4708,226513.60680623498
80013,2016,5199,233899.94887092314
80013,2017,5774,237765.0518277644
80013,2018,5892,245921.23031739803
80013,2019,5729,249113.53225141848
80013,2020,4665,238836.49676638554
80013,2021,4712,237584.34501070986
80013,2022,5323,257418.96973763427
80013,2023,5687,264650.78808051243
80014,2015,20727,332316.79511959455
80014,2016,20629,342070.60447319853
80014,2017,20574,345847.8221958652
80014,2018,22547,357912.9508780607
80014,2019,22822,361986.31435884326
80014,2020,22063,346095.775102005
80014,2021,23634,344364.90491895523
80014,2022,23938,371912.30617899855
80014,2023,23924,379945.72582339763
80015,2015,6877,254646.93205756033
80015,2016,7141,262511.67310869595
80015,2017,7341,266781.73271191004
80015,2018,7371,275021.33739474096
80015,2019,7539,278812.32775498065
80015,2020,7606,267413.9919390834
80015,2021,8155,267388.8064157806
80015,2022,8555,286660.5083443192
80015,2023,9795,294137.36127106316
80016,2015,10485,153235.19322283048
80016,2016,11172,158137.9510017403
80016,2017,11415,161905.5023951871
80016,2018,11877,166788.1222723547
80016,2019,12255,169600.7203961873
80016,2020,11655,163337.32224717634
80016,2021,12483,164342.2574617459
80016,2022,13350,175923.0839305884
80016,2023,14481,181496.25126191974
80017,2015,3369,243782.98548368568
80017,2016,3240,251993.09094535536
80017,2017,3406,255859.66632480265
80017,2018,3188,265223.45664240804
80017,2019,3607,268379.4980195708
80017,2020,3041,257363.62196605207
80017,2021,3156,254186.33821599072
80017,2022,3626,277920.19560367864
80017,2023,3755,285702.64551621315
80018,2015,489,130006.7075711916
80018,2016,514,134512.33136734515
80018,2017,518,137402.7884898318
80018,2018,521,142690.80635417465
80018,2019,589,144658.48304032025
80018,2020,653,139508.71344833804
80018,2021,1018,138979.3257045311
80018,2022,1142,152737.0801924425
80018,2023,1217,158101.89939645183
80019,2015,1028,132584.30948995583
80019,2016,1380,136943.89157107964
80019,2017,1908,140684.54306507384
80019,2018,3391,147260.92567446196
80019,2019,5133,148390.74402158606
80019,2020,6255,143935.52928057243
80019,2021,7501,143388.4203621247
80019,2022,7417,162745.15354249545
80019,2023,7671,170025.3441860599
80020,2015,17958,190231.75702733823
80020,2016,18625,198367.8577492158
80020,2017,19146,200839.788050152
80020,2018,22933,208116.2874614122
80020,2019,20703,212614.20993577552
80020,2020,22472,201791.17323030328
80020,2021,22491,203601.03547432745
80020,2022,23155,218138.36314846692
80020,2023,23905,222958.457211024
80021,2015,34535,210104.69860730844
80021,2016,37973,218606.59522536455
80021,2017,34675,219910.3359929747
80021,2018,35398,227461.8746009783
80021,2019,35754,231798.75592647615
80021,2020,35053,219432.8446850879
80021,2021,37360,220977.57555136993
80021,2022,37045,236272.3673932272
80021,2023,36461,240766.58209320443
