ZCTA5CE,year,job_count,job_accessibility
90001,2015,8581,848854.0455360815
90001,2016,8913,881756.1252503198
90001,2017,9155,876340.532811858
90001,2018,9322,889434.6628157103
90001,2019,9930,904304.5455080145
90001,2020,9309,843505.921541573
90001,2021,10326,842713.7865846267
90001,2022,10469,909110.8863089909
90001,2023,10337,923178.6401599885
90002,2015,3614,781823.130471488
90002,2016,3636,812036.6416300223
90002,2017,3684,806645.1293519002
90002,2018,3901,818590.5726897947
90002,2019,4169,830636.3657636105
90002,2020,4271,775990.3609934691
90002,2021,4373,775371.9402685368
90002,2022,4632,834087.6855876577
90002,2023,4655,846592.1775136341
90003,2015,7157,828066.2573418006
90003,2016,6707,860389.1646549214
90003,2017,6976,854693.6481265117
90003,2018,6701,868496.7912635595
90003,2019,6573,884677.613171326
90003,2020,6769,825432.837818198
90003,2021,7109,825308.8626396237
90003,2022,7433,891742.6117660842
90003,2023,7362,906034.264998102
90004,2015,11152,1006410.3547408506
90004,2016,9929,1047013.7019129698
90004,2017,9568,1047902.9633907938
90004,2018,9583,1070830.2212149904
90004,2019,9481,1112038.6945477684
90004,2020,8660,1029462.9317094809
90004,2021,8696,1029025.6392955692
90004,2022,9869,1112161.6308604327
90004,2023,10705,1136886.3135924125
90005,2015,13602,1021874.5694656132
90005,2016,13116,1064501.9022915047
90005,2017,12723,1063837.5779797402
90005,2018,12606,1086293.2654104207
90005,2019,12211,1124628.511033313
90005,2020,8989,1042208.6788135868
90005,2021,9462,1042061.4068403798
90005,2022,15187,1126842.0568074686
90005,2023,12418,1149956.3489165392
90006,2015,9699,1034648.7352060764
90006,2016,9593,1076360.0391466036
90006,2017,10037,1075001.413745722
90006,2018,10163,1096632.7163923613
90006,2019,10060,1130498.7521080042
90006,2020,9358,1048565.1968144788
90006,2021,9600,1046110.0721761652
90006,2022,10553,1133444.2824491558
90006,2023,11074,1156640.924631907
90007,2015,17348,1011467.1383681374
90007,2016,16754,1051519.9647976193
90007,2017,16730,1048441.3809300101
90007,2018,19019,1068219.8340096725
90007,2019,19524,1096779.4402426195
90007,2020,17984,1018433.8172679511
90007,2021,17345,1015603.4940919371
90007,2022,18962,1104943.7754447695
90007,2023,19582,1126104.3809406986
90008,2015,4766,917310.5593905031
90008,2016,4666,958604.2184081982
