ZCTA5CE,year,job_count,job_accessibility
38002,2015,6119,42960.63083426732
38002,2016,5622,43780.60453884124
38002,2017,5985,44473.84949392705
38002,2018,6576,44625.742117131325
38002,2019,6206,44485.92993831414
38002,2020,6959,42864.13893457824
38002,2021,7664,43220.879976481374
38002,2022,7805,45097.645360344235
38002,2023,7832,45622.637586771205
38016,2015,11475,107564.29881908098
38016,2016,10968,109874.80342379857
38016,2017,10777,111255.71334381615
38016,2018,11718,111323.0820525731
38016,2019,10431,111052.5524404054
38016,2020,9869,106068.39656703992
38016,2021,9573,106181.11926614634
38016,2022,9392,110408.72768297534
38016,2023,9214,111189.86350345798
38017,2015,20763,63347.46596265029
38017,2016,21480,65257.00712143205
38017,2017,22572,66545.81321585711
38017,2018,22882,66826.63847766382
38017,2019,24087,67812.14031536886
38017,2020,23552,65315.14914578032
38017,2021,24432,66232.82309377078
38017,2022,27611,69634.59244795733
38017,2023,29733,70683.82989105028
38018,2015,9740,125046.36246093303
38018,2016,9771,127949.93948101123
38018,2017,9964,129436.79750746222
38018,2018,9908,129229.41749913126
38018,2019,9989,129596.81642214626
38018,2020,9725,123798.23420726987
38018,2021,10071,124016.37443479447
38018,2022,10376,128836.57978799006
38018,2023,10434,129598.66136349335
38028,2015,1198,45562.93394308054
38028,2016,1264,46603.45665399881
38028,2017,1149,47442.99199996635
38028,2018,1024,47747.02566387896
38028,2019,948,47734.64554984003
38028,2020,1006,45863.1984010111
38028,2021,1079,46392.38432533188
38028,2022,1227,48416.49391646919
38028,2023,1311,48992.87571684793
38049,2015,643,9010.155962820658
38049,2016,657,9129.387510034408
38049,2017,675,9309.950600870154
38049,2018,640,9338.655619068619
38049,2019,1430,9373.332178930268
38049,2020,816,9046.26295690689
38049,2021,520,9150.634527226981
38049,2022,491,9445.178851134906
38049,2023,1071,9639.429370118689
38053,2015,6026,44091.72681668421
38053,2016,6171,44736.747783163235
38053,2017,6265,44956.2699761676
38053,2018,6361,45120.7226792837
38053,2019,6338,45029.99781890789
38053,2020,6229,43055.33265598398
38053,2021,6166,43324.89157086159
38053,2022,6584,45107.55798280227
38053,2023,6592,45278.9798298008
38057,2015,630,6461.076530684112
38057,2016,645,6629.722636042573
38057,2017,576,6764.82133141518
38057,2018,637,6845.72806151843
38057,2019,663,6904.731660356738
38057,2020,653,6703.78010765165
38057,2021,622,6811.957851536995
38057,2022,634,7135.938058381546
38057,2023,658,7294.419057632669
38060,2015,1269,16857.138043630424
38060,2016,1301,17220.327090609404
38060,2017,1364,17547.35850486948
38060,2018,1531,17693.827676328336
38060,2019,1486,17830.7758929051
38060,2020,1524,17216.690083986075
38060,2021,1540,17502.98210703604
38060,2022,1680,18187.27190140459
38060,2023,1563,18518.089853737776
38066,2015,836,25759.222556575707
38066,2016,904,26522.532948662876
38066,2017,811,27075.124350336413
38066,2018,761,27202.564152901734
38066,2019,713,27535.72952140827
38066,2020,680,26600.73856749217
38066,2021,788,27028.457690540406
38066,2022,738,28384.816593243257
38066,2023,735,28978.768942205
38068,2015,2841,4828.004303294734
38068,2016,3393,4860.381083979672
38068,2017,3336,4860.167837421941
38068,2018,2818,4908.83256084499
38068,2019,2962,5018.87397309962
38068,2020,2993,4891.179406932359
38068,2021,3151,5016.556450305696
38068,2022,3137,5201.849483884414
38068,2023,3184,5256.022290423272
38103,2015,41560,152649.0072192448
38103,2016,42652,155442.85926388204
38103,2017,42273,156070.73993566245
38103,2018,43497,156749.60705554712
38103,2019,44550,158816.84082347446
38103,2020,42597,152100.96047961808
38103,2021,43903,151211.83401243357
38103,2022,44747,155202.26233918904
38103,2023,45092,157093.74468422672
38104,2015,22330,184482.15739566417
38104,2016,24117,187773.294189544
38104,2017,24919,189111.1443843674
38104,2018,25288,189276.00245250872
38104,2019,26573,191571.92263772473
38104,2020,25799,182717.2817133044
38104,2021,25609,180085.7231480431
38104,2022,25079,185271.4848442646
38104,2023,26671,187382.16740646312
38105,2015,10080,165620.1265053069
38105,2016,10681,168657.38548759837
38105,2017,11025,169550.99576491897
38105,2018,11328,170164.78857911142
38105,2019,11537,172318.99000440337
38105,2020,11709,164850.95814783644
38105,2021,11083,163485.7682423372
38105,2022,11205,167825.98347361723
38105,2023,11893,169992.3203333867
38106,2015,5153,164331.00277754656
38106,2016,5180,167180.65075185927
38106,2017,5252,168123.7086046156
38106,2018,5348,168364.63664412888
38106,2019,5502,171282.12248661733
38106,2020,5542,163859.79107206032
38106,2021,5722,161931.06944367994
38106,2022,6063,166491.77827527793
38106,2023,7207,168067.53323500394
38107,2015,3395,151833.53020964313
38107,2016,3573,154818.47302503124
38107,2017,3321,155460.8928482348
38107,2018,3217,155722.2613976736
38107,2019,3330,157393.3201786096
38107,2020,2465,150343.6661679424
38107,2021,2618,149357.10111066047
38107,2022,2866,153674.98032509914
38107,2023,2681,155441.4452132035
38108,2015,4226,158325.40410646907
38108,2016,4092,161665.75937033413
38108,2017,4036,162194.43082693513
38108,2018,3426,161735.93284287184
38108,2019,3977,162637.2881710002
38108,2020,3919,154617.8762453715
38108,2021,4049,154092.7064672542
38108,2022,4029,159299.9648404734
38108,2023,4309,160446.4143604187
38109,2015,5601,75778.27409432842
38109,2016,5367,77403.48505205619
38109,2017,6233,78053.46950911073
38109,2018,6945,78556.76528396412
38109,2019,6849,79861.26306224549
38109,2020,6161,76533.64479344327
38109,2021,6050,75838.25594173212
38109,2022,6325,78382.18153140048
38109,2023,5638,78268.82360629132
38111,2015,13161,196958.63523800197
38111,2016,9555,200638.48428006476
38111,2017,9732,201752.27104971313
38111,2018,9441,201163.50782949812
38111,2019,12334,203993.31943379663
38111,2020,8635,193613.4398425696
38111,2021,11229,190875.74994443828
38111,2022,9004,197190.19718011824
38111,2023,12310,198083.95762213066
38112,2015,23806,182080.44328876055
38112,2016,22735,185434.289021545
38112,2017,24044,186670.0151195854
38112,2018,23973,186472.03623897218
38112,2019,21990,188049.1948583374
38112,2020,20447,178732.89307421545
38112,2021,16667,176288.6363836351
38112,2022,17716,181861.78325334005
38112,2023,18152,183583.9264272012
38113,2015,3383,95460.55681037784
38113,2016,3029,96960.36638989208
38113,2017,2637,97285.12770679955
38113,2018,2730,97767.3381665483
38113,2019,2791,98796.41274315525
38113,2020,2588,94563.73368905668
38113,2021,2269,93675.8339191585
38113,2022,2310,96301.52826127339
38113,2023,2391,96953.62017848535
38114,2015,3950,187550.8885235161
38114,2016,3829,191127.99361640637
38114,2017,4008,192240.96376151068
38114,2018,3976,192099.99979305075
38114,2019,4218,195705.68811278295
38114,2020,4007,186535.7525402526
38114,2021,3821,183791.22408275897
38114,2022,3625,189495.13994322091
38114,2023,3687,190504.75938711283
38115,2015,19941,181683.11020653512
38115,2016,18849,185723.9642492526
38115,2017,17919,186467.4200664071
38115,2018,17806,185182.47083650745
38115,2019,20109,188680.39934438653
38115,2020,17113,179048.36636145524
38115,2021,16919,178932.92601313585
38115,2022,17016,184896.95261430935
38115,2023,17238,184608.89124809534
38116,2015,20453,149686.11100092492
38116,2016,21425,153317.50981280112
38116,2017,21168,154317.90515119332
38116,2018,20835,154244.12845781527
38116,2019,20818,158722.27834259643
38116,2020,19463,152128.13918615208
38116,2021,17707,150716.07126563392
38116,2022,18170,155833.4809953011
38116,2023,18103,155421.59210707445
38117,2015,20946,198237.3046769169
38117,2016,21110,202155.30221453603
38117,2017,19595,203073.61179368358
38117,2018,19467,202044.59292983828
38117,2019,20494,204481.97949205944
38117,2020,17707,193531.9731335095
38117,2021,16019,191561.459159068
38117,2022,17539,198062.19043879502
38117,2023,18291,198771.94439304268
38118,2015,64226,179485.48126363818
38118,2016,65301,183678.21770545986
38118,2017,64579,184617.72256406752
38118,2018,63387,183900.65341192213
38118,2019,69213,188810.68478199237
38118,2020,67513,180441.27624814602
38118,2021,68538,179722.61985339728
38118,2022,69828,185691.67192033702
38118,2023,66679,184715.62678602
38119,2015,23986,183856.48546858106
38119,2016,25096,188078.69276039032
38119,2017,25781,189112.59196512014
38119,2018,24256,187762.4077051937
38119,2019,24578,190446.51727162302
38119,2020,22919,180573.62590160582
38119,2021,23049,180146.88289471713
38119,2022,22508,186149.22972966576
38119,2023,22006,186320.43950408808
38120,2015,23553,186310.1205620672
38120,2016,23904,190389.70018354233
38120,2017,24209,191781.06860768172
38120,2018,25057,190796.48856253477
