ZCTA5CE,year,job_count,job_accessibility
33004,2015,9749,278346.7810599078
33004,2016,10144,283947.3127332101
33004,2017,10858,287394.1390190717
33004,2018,12043,291353.30857451377
33004,2019,12729,296778.05556639907
33004,2020,10726,283697.0836544697
33004,2021,13710,284045.832338794
33004,2022,14863,301603.75391948246
33004,2023,14817,314742.1474962862
33009,2015,14379,283768.8663622347
33009,2016,14781,288267.3821606801
33009,2017,14467,291409.3401965479
33009,2018,14139,294074.9394480713
33009,2019,14318,299932.56184730155
33009,2020,12206,284971.47416377795
33009,2021,12627,285466.77102814784
33009,2022,13288,303067.193254079
33009,2023,14094,316238.8003926382
33010,2015,12735,421361.0769292814
33010,2016,13353,432396.2349632524
33010,2017,13722,438494.8686278172
33010,2018,14867,444009.2631365037
33010,2019,15193,451594.8315135954
33010,2020,14745,431335.7080515045
33010,2021,14264,429120.2562573079
33010,2022,15394,453809.95960172755
33010,2023,15721,474008.27659659437
33012,2015,17331,379743.44094002084
33012,2016,16559,390873.4523785257
33012,2017,17438,397208.1116767909
33012,2018,17188,402208.7056388678
33012,2019,17084,408412.7007315287
33012,2020,16312,390872.65567665035
33012,2021,16659,391329.85606761574
33012,2022,17194,411181.2024435996
33012,2023,17972,428423.49780159484
33013,2015,8409,393297.06931293925
33013,2016,8818,403516.9145782527
33013,2017,8928,409779.2943085256
33013,2018,8770,414839.63893599773
33013,2019,8828,421763.95126567147
33013,2020,8926,402684.91935941303
33013,2021,8710,402338.24163067597
33013,2022,8728,424654.0447862207
33013,2023,8297,442578.66229051247
33014,2015,21817,342654.8262925975
33014,2016,21923,352590.93861042144
33014,2017,23401,358961.0301653762
33014,2018,23923,363719.8783139173
33014,2019,22756,368921.6987343268
33014,2020,21836,352892.596849801
33014,2021,26643,356021.33116567467
33014,2022,27281,373799.5970506121
33014,2023,26811,388769.0252990071
33015,2015,9795,298288.9936749735
33015,2016,10339,306725.27944445115
33015,2017,9715,312771.667638499
33015,2018,9169,317059.5117958772
33015,2019,9116,321718.0753358609
33015,2020,8805,307857.6588887075
33015,2021,9244,312214.0506920821
33015,2022,9719,327566.17507528845
33015,2023,9597,341224.90354263916
33016,2015,21471,327324.61901864124
33016,2016,23494,338148.00224717014
33016,2017,23397,344023.6225143349
33016,2018,24746,348877.82089460216
33016,2019,24277,353609.2187963099
33016,2020,22643,338855.5643522275
33016,2021,21843,341060.44253700937
33016,2022,22084,356989.3898392084
33016,2023,22973,371842.09262622555
33018,2015,7188,223810.14723133115
33018,2016,7670,231865.4894526043
33018,2017,7957,236298.95095513968
33018,2018,8281,239744.7716185915
33018,2019,9257,243409.30509495994
33018,2020,8807,233540.7570542786
33018,2021,9673,236503.78956956437
33018,2022,10284,246977.21633730375
33018,2023,11155,257790.8917771309
33019,2015,3896,255575.79224286662
33019,2016,4606,260102.51476450713
33019,2017,4684,263083.75459410646
33019,2018,4579,265881.20176277834
33019,2019,5369,271159.5991354116
33019,2020,4562,258315.348912193
33019,2021,3555,258556.19529168532
33019,2022,4194,274810.0329348411
33019,2023,4746,286837.31646439835
33020,2015,23257,290512.0101276501
33020,2016,22386,295445.44877411507
33020,2017,22823,299322.8569487115
33020,2018,22227,302270.1121444668
33020,2019,22902,307919.6148739056
33020,2020,20670,294076.7585304685
33020,2021,21453,294543.9625452238
33020,2022,22378,312703.14324264694
33020,2023,23000,325856.7406594872
33021,2015,26633,311941.7873550997
33021,2016,26649,317539.14338002435
33021,2017,27575,322296.50796780613
33021,2018,25608,325508.80130301585
33021,2019,26534,330966.03339986043
33021,2020,29728,317587.5530359702
33021,2021,27792,318308.1139663968
33021,2022,28654,337540.7094411644
33021,2023,28863,351311.4764606634
33023,2015,11326,314146.1262319836
33023,2016,11019,320082.04673683934
33023,2017,10789,324893.0502986566
33023,2018,11089,328525.05787203996
33023,2019,10648,334239.84280891845
33023,2020,10744,319382.56253343343
33023,2021,10680,321247.0762804153
33023,2022,11250,339782.4367942332
33023,2023,11447,353613.0220704457
33024,2015,13820,306638.0001180168
33024,2016,13786,312779.2818734326
33024,2017,13978,318153.425917907
33024,2018,13852,322454.87002939207
33024,2019,14256,326947.20629042736
33024,2020,12978,313427.74186275445
33024,2021,12719,315998.44592180144
33024,2022,13583,333946.26249663124
33024,2023,13779,347568.28800993465
33025,2015,22306,298396.7980055371
33025,2016,22753,305316.203219283
33025,2017,24079,311499.46926413185
33025,2018,24789,315834.71012654144
33025,2019,24815,320797.2627904905
33025,2020,24705,307251.71682402905
33025,2021,25008,311403.4490887626
33025,2022,26802,327874.0972352393
33025,2023,29263,341934.8666321869
33026,2015,11667,279224.8047086556
33026,2016,11205,285421.333546362
33026,2017,11424,291361.7667796259
33026,2018,11443,295845.37549556536
33026,2019,11193,299556.4251338589
33026,2020,10099,287188.95468158874
33026,2021,10445,291750.0161344988
33026,2022,11333,306574.6308175144
33026,2023,12324,319306.2051164783
33027,2015,20994,252617.03933395824
33027,2016,21023,259313.873048407
33027,2017,22334,265290.31235038635
33027,2018,23181,269262.4896241779
33027,2019,23159,273122.047366716
33027,2020,22219,261730.44740781555
33027,2021,22171,266408.15138496674
33027,2022,22075,278950.6237718618
33027,2023,24284,291254.10633824376
33028,2015,5257,237751.97819495096
33028,2016,5366,243786.97482456177
33028,2017,5816,249593.56759674582
33028,2018,5911,253575.8343202139
33028,2019,9679,257089.00922970474
33028,2020,9835,246449.3638192444
33028,2021,9457,251965.8429092067
33028,2022,9406,263790.9501837044
33028,2023,9839,274912.2236201086
33029,2015,6345,175151.14550687186
33029,2016,6629,180496.64487587247
33029,2017,6956,184836.1062939137
33029,2018,7000,187683.54778336125
