ZCTA5CE,year,job_count,job_accessibility
85003,2015,36402,516574.73175977386
85003,2016,36376,523300.1099850029
85003,2017,36065,529535.7542073599
85003,2018,36098,540788.4738311352
85003,2019,35761,550145.3666714318
85003,2020,34311,536576.7711210983
85003,2021,34711,547936.8529123388
85003,2022,34372,573721.026151127
85003,2023,36074,588376.5689568232
85004,2015,48863,526542.7530599001
85004,2016,49251,533133.5084216825
85004,2017,49816,539697.621770945
85004,2018,51791,550863.028583218
85004,2019,52779,560744.7038417569
85004,2020,47080,546952.6490022225
85004,2021,48419,558259.2814273529
85004,2022,52941,584474.1621078089
85004,2023,51081,599702.2643854719
85006,2015,20055,541331.9964851043
85006,2016,18869,547551.664762768
85006,2017,20899,554406.3850452943
85006,2018,20767,565076.3042415656
85006,2019,21249,574842.2019937502
85006,2020,19773,561449.1294995525
85006,2021,21978,572595.553504644
85006,2022,21482,599777.4500735699
85006,2023,22277,615936.372348888
85007,2015,24623,491656.9154792698
85007,2016,24380,498524.8749606102
85007,2017,24605,504325.41015833267
85007,2018,24589,515614.6147010075
85007,2019,23519,524428.6988668727
85007,2020,23962,511955.7591823048
85007,2021,24122,523129.5245496639
85007,2022,23948,547674.9097416606
85007,2023,25132,561674.3276242864
85008,2015,29133,512768.47883374343
85008,2016,27935,520925.5000604522
85008,2017,29170,531049.2105173955
85008,2018,29328,541900.9446161004
85008,2019,29586,554826.8662212179
85008,2020,28122,543501.7730606422
85008,2021,28898,550329.7085891642
85008,2022,28972,576456.3809913538
85008,2023,30291,595096.5781824661
85009,2015,35098,419416.4840896484
85009,2016,34471,426866.7523372716
85009,2017,35188,431370.3749314263
85009,2018,37223,442532.81168239674
85009,2019,36223,450248.3513667811
85009,2020,35775,440263.69944573985
85009,2021,34674,451526.64079077804
85009,2022,36256,473725.01554834936
85009,2023,37113,485508.8613496377
85012,2015,43598,506587.3614959638
85012,2016,43116,513462.9093652219
85012,2017,48156,517876.1277884401
85012,2018,47504,527476.744741027
85012,2019,41820,531651.0707666624
85012,2020,41249,518610.7871365853
85012,2021,39672,530137.4924511197
85012,2022,43801,557259.0701890821
85012,2023,45570,570110.5594856986
85013,2015,17563,491111.31495981925
85013,2016,21455,498273.1057510551
85013,2017,17045,502377.7952672223
85013,2018,18586,511983.5597804604
85013,2019,17228,515493.65895776416
85013,2020,14081,502909.71076967014
85013,2021,18724,514154.41509591497
85013,2022,20465,540517.6750931989
85013,2023,21767,553191.1761269432
85014,2015,26570,511097.70786632487
85014,2016,27372,517253.3062164167
85014,2017,26783,521816.20123855403
85014,2018,24813,531250.1281658497
85014,2019,24095,536371.5047634938
85014,2020,24834,523609.36268384056
85014,2021,25353,534821.1500032676
85014,2022,25535,562154.6832486117
85014,2023,18023,574645.19032531
85015,2015,10229,469219.65898265433
85015,2016,9434,476753.71928284003
85015,2017,9010,480524.8317225791
85015,2018,9710,490385.7514717748
85015,2019,8622,493604.2742416201
85015,2020,9115,481730.23795739695
85015,2021,9493,492538.83188971825
85015,2022,9599,517697.7992542623
85015,2023,9299,529913.5677579861
85016,2015,71994,508328.8872010031
85016,2016,66197,513117.9586660297
85016,2017,62007,518180.90208186297
85016,2018,62986,527747.4792366759
85016,2019,65528,535082.2151475947
85016,2020,65629,522773.98402953445
85016,2021,68470,533096.4508248791
85016,2022,72943,560275.6412094166
85016,2023,73867,573409.243379876
85017,2015,24529,437221.48670270323
85017,2016,26387,445128.0208978006
85017,2017,25650,448591.611017714
85017,2018,26673,458612.8526108957
85017,2019,26406,462252.7044684741
85017,2020,24376,451224.3218553232
85017,2021,23507,461617.4166845545
85017,2022,24068,485160.3989074367
85017,2023,25557,496850.6454701946
85018,2015,23018,462614.8843656347
85018,2016,20523,467857.3280537255
85018,2017,21616,473842.95142402756
85018,2018,21634,483211.4578421956
85018,2019,21543,492141.2878845142
85018,2020,19831,480932.7862401791
85018,2021,22063,488908.83742215985
85018,2022,23463,514178.73642915697
85018,2023,26301,528298.2447647771
85019,2015,6231,405354.6573718116
85019,2016,6519,413305.04606171325
85019,2017,6177,416526.7181301756
85019,2018,6051,426419.87719919975
85019,2019,6227,430596.22262888873
85019,2020,5821,420582.80783777346
85019,2021,5975,430792.09861606895
85019,2022,5871,452895.0487715436
85019,2023,5745,463946.94160925027
85020,2015,19362,406072.9629301157
85020,2016,19892,411780.57269814756
85020,2017,19737,415491.8330251364
85020,2018,19174,423494.68759599834
85020,2019,17150,426872.63246606704
85020,2020,15983,418474.698891085
85020,2021,17135,425774.73253639124
85020,2022,18725,447872.15170364385
85020,2023,19176,458437.2174520669
85021,2015,34310,410232.9247774673
85021,2016,33436,416570.961290604
85021,2017,34867,420051.90641810873
85021,2018,33451,428083.3505705351
85021,2019,29134,429607.00898289843
85021,2020,28319,420917.305347856
85021,2021,27939,428650.42659070704
85021,2022,31488,450772.1317296324
85021,2023,31750,461457.41796582734
85022,2015,7950,309493.1091301508
85022,2016,7822,316104.93881501415
85022,2017,8070,319435.16414086
85022,2018,7938,328210.27961439826
85022,2019,7816,333068.54459150665
85022,2020,8299,329406.9374479467
85022,2021,8873,333365.66690161143
85022,2022,9095,349963.0115464704
85022,2023,8908,359340.4887573749
85023,2015,10806,301588.0730683429
85023,2016,11383,310577.9428947692
85023,2017,11182,313650.29021465033
85023,2018,10904,321758.26943109307
85023,2019,11266,326823.58226974506
85023,2020,10616,322737.86493568483
85023,2021,10133,326104.9301573924
85023,2022,9461,340832.57060034166
85023,2023,9093,350119.188414084
85024,2015,6316,217011.68351320803
85024,2016,6700,224771.193053832
85024,2017,6383,227674.646656434
85024,2018,7428,235931.50891395297
85024,2019,7981,240747.68047507416
85024,2020,8242,239328.43286036974
85024,2021,8833,241002.18193561642
85024,2022,8707,252317.99627567275
85024,2023,9508,260946.23839339247
85027,2015,47746,238787.2648029602
85027,2016,56716,249390.08524988912
85027,2017,56727,252270.56994313805
85027,2018,58988,260087.37860661937
85027,2019,62549,265718.93225725926
85027,2020,63400,263642.54946037696
85027,2021,58476,264821.69070516224
85027,2022,59507,276046.1959441807
85027,2023,62667,285136.23873457446
85028,2015,7132,369893.4106555564
85028,2016,7290,375479.0832050841
85028,2017,7477,379509.81383585173
85028,2018,7413,388188.64113154565
85028,2019,8095,394128.5741943243
85028,2020,7951,386773.39353861037
85028,2021,7594,392570.222502463
85028,2022,8299,413767.2020464263
85028,2023,8388,424370.5788743013
85029,2015,19925,350292.00051233056
85029,2016,18640,357406.47540939116
85029,2017,17888,360519.38651350525
85029,2018,19213,368665.05905459484
85029,2019,21046,372477.47815168486
85029,2020,21808,366297.6556959016
85029,2021,21039,371562.0547014888
85029,2022,21293,389429.1451675588
85029,2023,22649,399381.5596599045
85031,2015,6374,366536.3254859788
85031,2016,5864,374737.03496188205
85031,2017,5811,377838.36315108073
85031,2018,5761,387833.98482536594
85031,2019,6640,393302.3426000034
