ZCTA5CE,year,job_count,job_accessibility
98001,2015,29466,191721.9631246209
98001,2016,30800,199375.408304319
98001,2017,29875,203214.69013180176
98001,2018,31512,210656.2027162227
98001,2019,31690,208321.88211602633
98001,2020,31168,205201.6705566681
98001,2021,29337,202754.25177012375
98001,2022,29636,212657.2177441877
98001,2023,31029,219000.1270886169
98002,2015,16886,177679.75758045964
98002,2016,17641,185191.9175625533
98002,2017,17844,188923.3202913157
98002,2018,17698,196114.37402274396
98002,2019,18077,193957.96048090988
98002,2020,16897,190774.42035987525
98002,2021,15743,188416.636754236
98002,2022,15320,196971.52927658995
98002,2023,15430,203086.93957867086
98003,2015,25081,193796.2697412383
98003,2016,25352,201072.6618198817
98003,2017,24660,204876.03763206673
98003,2018,24507,212103.69206018635
98003,2019,23928,209772.5437411008
98003,2020,23813,206960.05599864342
98003,2021,24372,204845.09573851185
98003,2022,25315,215462.5475302653
98003,2023,24910,221536.6650107786
98004,2015,73756,446819.4258084266
98004,2016,76739,467427.1769713287
98004,2017,76405,480592.00923442136
98004,2018,82138,496925.04451563366
98004,2019,84955,487371.5339410997
98004,2020,81466,495270.98356197437
98004,2021,76568,492768.1711170918
98004,2022,84972,522750.4699690778
98004,2023,86575,534026.6883825146
98005,2015,32783,411327.1299989292
98005,2016,34569,429724.96264551335
98005,2017,35548,441332.2250500434
98005,2018,32889,455118.3984331419
98005,2019,30947,448672.4404678976
98005,2020,28867,453228.0874932597
98005,2021,35171,453989.98651608406
98005,2022,29476,480031.0841954602
98005,2023,30255,489635.63328268833
98006,2015,14360,333992.2542348218
98006,2016,15438,348817.09915739496
98006,2017,15937,358234.12221924553
98006,2018,16743,370376.84976970364
98006,2019,17597,363875.2932129216
98006,2020,15476,367667.5909120066
98006,2021,17297,365619.2163865065
98006,2022,18443,385123.39147528866
98006,2023,18653,394129.6389423181
98007,2015,16745,377820.542247707
98007,2016,17162,394540.69374976796
98007,2017,17388,404997.81162976683
98007,2018,17247,417349.90446234273
98007,2019,17668,412687.54049804533
98007,2020,17797,416064.9998410094
98007,2021,17976,417889.9945038422
98007,2022,16346,442181.5008093378
98007,2023,16914,450729.4246147775
98008,2015,8754,326688.96438778925
98008,2016,8838,341116.9154108521
98008,2017,8360,349970.90459780913
98008,2018,8232,360761.15335371625
98008,2019,7374,357354.13068856875
98008,2020,6785,359721.52710465743
98008,2021,6318,361449.0102302076
98008,2022,6454,382262.1439223308
98008,2023,6738,389991.82138830144
98010,2015,409,72240.51500808634
98010,2016,488,75504.1528424958
98010,2017,499,77327.30615902416
98010,2018,575,80515.29955614598
98010,2019,616,79994.355788157
98010,2020,600,78658.93441516954
98010,2021,687,78307.60386253272
98010,2022,1014,82554.1659149947
98010,2023,665,84754.2989148429
98011,2015,16114,267212.9936131322
98011,2016,18192,279356.8255148177
98011,2017,18465,285129.1836209832
98011,2018,18797,291869.8807650798
98011,2019,18954,291219.1642517092
98011,2020,17968,288455.0773185398
98011,2021,18014,287746.3623633562
98011,2022,19448,306845.6704375783
98011,2023,20018,315029.30951969937
98012,2015,9019,186617.70647100612
98012,2016,9475,193676.7098774028
98012,2017,9495,195898.18846419823
98012,2018,10043,199704.3368912048
98012,2019,10797,201812.0127544205
98012,2020,10694,197445.93302208005
98012,2021,11090,195686.23123281522
98012,2022,11943,207404.74716486334
98012,2023,12321,213361.6636805185
98014,2015,932,58342.8255295081
98014,2016,873,60800.56257258965
98014,2017,941,62330.49545169998
98014,2018,1064,64083.12304005071
98014,2019,1197,64343.4794186285
98014,2020,860,63598.022543022555
98014,2021,1018,64211.159873065786
98014,2022,1041,68099.611647124
98014,2023,1262,70069.22212384104
98019,2015,1993,94027.52477026232
98019,2016,2118,98015.11059956544
98019,2017,2195,100205.95137147575
98019,2018,2363,102897.58452104483
98019,2019,2393,103247.64563987413
98019,2020,2182,102268.3607102957
98019,2021,2382,103057.73071829804
98019,2022,2406,109415.25439320398
98019,2023,2276,112394.72484477142
98020,2015,5077,190800.71711872725
98020,2016,5342,198186.875523759
98020,2017,5381,201445.26177738048
98020,2018,5400,205326.4567658319
98020,2019,5793,205013.6783049505
98020,2020,5242,199870.8064265619
98020,2021,5556,197711.18322083048
98020,2022,6086,212257.18678468847
98020,2023,6721,217792.43045693127
98021,2015,14029,231423.40367322468
98021,2016,14474,241279.22390299832
98021,2017,14483,245385.1883082453
98021,2018,14563,250689.83665177797
98021,2019,13882,251004.91170621998
98021,2020,14522,247103.79279971245
98021,2021,16242,246397.437648227
98021,2022,15316,261914.06558876947
98021,2023,15113,268822.883872846
98022,2015,5955,6296.315727724634
98022,2016,6450,6592.2103578922115
98022,2017,6409,6743.237358825946
98022,2018,6614,7030.917287656409
98022,2019,6983,7049.073059440908
98022,2020,6031,6860.822483200179
98022,2021,6613,6981.419670900972
98022,2022,6731,7275.547665318479
98022,2023,6825,7468.165180081239
98023,2015,4549,184509.7061099793
98023,2016,4449,191130.246028135
98023,2017,4453,195117.95213457584
98023,2018,4690,201994.26342167423
98023,2019,4565,200324.63979744117
98023,2020,4446,197293.76059181924
98023,2021,4518,195279.476047314
98023,2022,4724,206291.10139337854
98023,2023,5097,212142.95795103343
98024,2015,918,95118.4059860889
98024,2016,887,99402.79982992147
98024,2017,829,102086.4428883753
98024,2018,816,104849.28116161784
98024,2019,777,104764.78518497736
98024,2020,794,104258.32229786985
98024,2021,853,104642.2059012943
98024,2022,819,110597.95168535694
98024,2023,1342,113628.93106299381
98026,2015,8576,183660.8829143874
98026,2016,9176,190421.83460584155
98026,2017,9388,192487.29044194688
98026,2018,9712,195663.8742468082
98026,2019,9371,196928.4815543835
98026,2020,8550,191091.8687408714
98026,2021,8614,188206.1212370668
98026,2022,8967,200653.8974114689
98026,2023,8866,206224.63534933477
98027,2015,22360,145605.1900629105
98027,2016,23658,151878.10378495196
98027,2017,24372,155863.94739658188
98027,2018,24311,161086.25099870606
98027,2019,24506,160149.23516935197
98027,2020,24032,159576.68117888775
98027,2021,21687,158758.5399392508
98027,2022,23105,167436.31074250696
98027,2023,24727,172112.4308981487
98028,2015,3169,283337.09064307675
98028,2016,3230,295743.84694091853
98028,2017,3425,302084.2768124613
98028,2018,3394,309159.21393031214
98028,2019,3576,307631.0777454668
98028,2020,3201,304229.61718134687
98028,2021,3461,302999.93026030937
98028,2022,3712,324670.81945203326
98028,2023,3767,332926.3959829731
98029,2015,5923,178496.38396535738
98029,2016,6761,186361.73485955189
98029,2017,7112,191266.58706091638
98029,2018,9084,197665.81335733912
98029,2019,9508,196812.66616343512
98029,2020,9289,196631.64742207128
98029,2021,11005,196613.20457036415
98029,2022,10568,207377.89081654782
98029,2023,10685,212765.55827242314
98030,2015,10969,206938.23133087755
98030,2016,9881,214285.25339211247
98030,2017,10263,219169.52621344524
98030,2018,10847,226873.3138871039
98030,2019,10874,226017.23706680947
98030,2020,10355,222037.87765771998
98030,2021,9884,218542.3720637965
98030,2022,10665,231146.24606329537
98030,2023,11080,238657.53108032598
98031,2015,5045,235259.1975377945
98031,2016,4153,243747.17404139682
98031,2017,4104,249659.0595554283
98031,2018,4567,257851.99401544943
98031,2019,4632,256846.1869479737
98031,2020,3820,253537.28110236351
98031,2021,4195,249442.08611062795
98031,2022,4536,264553.0767148787
98031,2023,4565,273298.89958900004
98032,2015,53630,247616.47211203043
98032,2016,55977,256500.39598464768
98032,2017,57762,262758.363628074
98032,2018,58865,271390.2499991764
98032,2019,61321,270440.17719379754
98032,2020,57918,266664.37062954786
98032,2021,56220,262034.87407139305
98032,2022,61105,278331.6754941048
98032,2023,61888,288565.28256114846
98033,2015,24167,380210.2043862345
98033,2016,25393,397378.0561921457
98033,2017,27206,407984.508301783
98033,2018,27849,419427.34526691894
98033,2019,28670,415463.9917042686
98033,2020,27076,417449.382464007
98033,2021,27484,417160.87015853205
98033,2022,30839,446336.0231397895
98033,2023,31943,457460.6814752961
98034,2015,19293,327996.78468920395
98034,2016,20468,342890.28961141116
98034,2017,20744,351258.39694919856
98034,2018,21888,360349.24318286416
98034,2019,22790,357863.9529231855
98034,2020,24946,357399.49776608025
98034,2021,23050,356192.4179755212
98034,2022,22547,381277.448828968
98034,2023,22395,391030.4277031507
98036,2015,24654,221544.87822428794
98036,2016,25321,230151.92738246097
98036,2017,24837,233481.02645085825
98036,2018,24955,237908.1242260136
98036,2019,25044,238704.1660471627
98036,2020,23294,232765.88834660413
98036,2021,23159,230632.5015016285
98036,2022,24520,245968.0308992484
98036,2023,24686,252410.78316172125
98037,2015,11267,200341.9861212705
98037,2016,11829,207775.85457568272
98037,2017,11773,210015.95937192018
98037,2018,11417,213568.44634944884
98037,2019,11732,215438.79308343673
98037,2020,11305,209044.14823740852
98037,2021,10887,206052.85089137207
98037,2022,11578,219170.67040497434
98037,2023,11781,225240.75835393692
98038,2015,5891,84041.71762164966
98038,2016,5924,87500.88194505117
98038,2017,6181,89752.733273571
98038,2018,6428,92787.71539262349
98038,2019,6909,92495.88855951914
98038,2020,6458,91436.44401305432
98038,2021,7133,91024.21253257661
98038,2022,7408,96004.53356200809
98038,2023,7886,98901.41395263471
98039,2015,330,458248.45235317975
98039,2016,351,479735.1862622237
98039,2017,323,494140.4341788649
98039,2018,375,510634.10417544475
98039,2019,410,498180.5399065685
98039,2020,340,508698.58104696946
98039,2021,433,504756.2752851414
98039,2022,639,538652.3004372943
98039,2023,693,550764.2497440645
98040,2015,6643,418197.1545196387
98040,2016,6550,437514.4681817046
98040,2017,6781,451241.42424305377
98040,2018,6767,468114.93905569514
98040,2019,7071,452847.53819344036
98040,2020,6926,467496.17041132203
98040,2021,7001,460798.3245622179
98040,2022,7621,483069.9795082308
98040,2023,7857,494589.05904275074
98042,2015,5749,152668.39467723513
98042,2016,5946,158498.4172491724
98042,2017,6182,162259.27144747047
98042,2018,6603,168277.44664388153
98042,2019,6799,167495.09521933272
98042,2020,6540,164779.1886953607
98042,2021,6856,162809.87958504772
98042,2022,7387,171927.17792331966
98042,2023,7700,177221.58302937902
98043,2015,3968,232814.31559827103
98043,2016,3902,241991.61184872317
98043,2017,4344,246102.05495664416
98043,2018,4376,251020.00586749116
98043,2019,4546,250810.59190397858
98043,2020,4354,245130.24562608323
98043,2021,4310,243057.6881158468
98043,2022,4543,260214.27655931353
98043,2023,4543,266868.9825198174
98045,2015,3052,17014.95723691079
98045,2016,3372,17820.329579019533
98045,2017,3325,18309.138471847677
98045,2018,3380,18857.063256811227
98045,2019,3424,18931.938689262388
98045,2020,3147,18601.673274273653
98045,2021,3249,18746.44647553625
98045,2022,4034,19727.067852419426
98045,2023,3543,20321.922542271608
98047,2015,2935,161406.8248302907
98047,2016,3967,169175.7078700798
98047,2017,3861,173139.01122717335
98047,2018,3163,180819.82322773113
98047,2019,3198,176380.47243018533
98047,2020,2848,175182.62740394927
98047,2021,3445,173785.42395183464
98047,2022,3447,181367.23644000516
98047,2023,3798,186148.49448034994
98051,2015,450,43517.04196331934
98051,2016,434,45336.78939090938
98051,2017,466,46479.906248575855
98051,2018,423,48221.18873987353
98051,2019,288,48089.83299179435
98051,2020,304,47302.192537832205
98051,2021,341,47231.13756944435
98051,2022,332,49764.06702486459
98051,2023,352,51176.32790571033
98052,2015,90963,309655.1284797973
98052,2016,93291,323024.69957795914
98052,2017,95444,330982.2107220266
98052,2018,97561,339847.2154676555
98052,2019,100511,338559.5967051821
98052,2020,101384,339044.52192906936
98052,2021,106531,340952.817737209
98052,2022,120178,363847.59425881214
98052,2023,123261,375633.0813357024
98053,2015,2849,192370.17549843376
98053,2016,3331,200672.39476201183
98053,2017,3578,205671.53011317825
98053,2018,3301,211450.85204213904
98053,2019,3596,211181.99760165662
98053,2020,3798,211189.0419101836
98053,2021,4180,212970.44444807695
98053,2022,5257,226770.08316883247
98053,2023,4939,232896.90783931763
98055,2015,7129,279518.7399280101
98055,2016,7687,290226.46467897267
98055,2017,8082,297467.6049297548
98055,2018,7913,306728.8408878526
98055,2019,8300,303943.4795733089
98055,2020,9144,302715.30672451475
98055,2021,9217,297432.5035440949
98055,2022,9600,315214.2567298278
98055,2023,9757,325473.7144020243
98056,2015,4436,324866.7080317518
98056,2016,4577,338623.0372965039
98056,2017,4532,347432.12600131513
98056,2018,4773,359056.76482413174
98056,2019,5200,351891.40013390424
98056,2020,4549,355735.0433779052
98056,2021,4504,350455.1279871211
98056,2022,5255,369544.67200759257
98056,2023,5224,379765.35068425676
98057,2015,47152,314619.9650033977
98057,2016,48730,327087.0792674899
98057,2017,47984,335304.47539073677
98057,2018,48566,345813.409486681
98057,2019,49265,340915.10972376546
98057,2020,47909,341591.90565859136
98057,2021,45841,335207.44467138604
98057,2022,50654,354801.6258921567
98057,2023,51838,366120.80243747
98058,2015,2978,205823.40470414553
98058,2016,2989,213823.83589837566
98058,2017,3005,219127.87017323065
98058,2018,3157,226390.04077100728
98058,2019,3234,224662.9799515863
98058,2020,2946,223161.87764694644
98058,2021,3202,220224.6158142183
98058,2022,3518,232958.8962731107
98058,2023,3496,240089.27809270655
98059,2015,4255,247912.2243600696
98059,2016,4131,258175.12685435681
98059,2017,4398,264703.1310612998
98059,2018,4655,273530.5446655927
98059,2019,4673,269987.2563371902
98059,2020,4311,270510.52682627714
98059,2021,4615,267466.0409492762
98059,2022,4899,282333.23230868246
98059,2023,5176,290251.7051139716
98065,2015,4577,46114.75105096632
98065,2016,5106,48195.34979814074
98065,2017,5765,49523.07433807891
98065,2018,6027,50855.115976983296
98065,2019,6819,50960.32935305409
98065,2020,6065,50475.89207237586
98065,2021,6140,50830.05764779826
98065,2022,6415,53702.81453029152
98065,2023,6779,55241.39770484719
98070,2015,2299,146244.6512220108
98070,2016,2377,151881.8937103537
98070,2017,2404,155879.79929356344
98070,2018,2414,161251.2847918698
98070,2019,2435,158993.32358367715
98070,2020,2223,158694.11976830676
98070,2021,2417,156142.7259008236
98070,2022,2757,166042.93107960766
98070,2023,2808,171356.1454028552
98072,2015,17478,225185.59388933633
98072,2016,18633,235303.9427154693
98072,2017,18820,240019.15404441848
98072,2018,19495,245813.9325756086
98072,2019,19409,245874.56316310458
98072,2020,18795,243839.06586419893
98072,2021,18275,243716.96544068577
98072,2022,18864,259075.4004935061
98072,2023,19631,266520.46657176514
98074,2015,2563,231250.4280539297
98074,2016,2650,241391.65026676212
98074,2017,2763,247570.34267726718
98074,2018,2933,255029.26822832186
98074,2019,3095,254080.86878090294
98074,2020,2859,254631.29030565958
98074,2021,2899,256393.4705338653
